id,district_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,100.0,54248.0,4260.0,2966.0,5005.0,2044.0000000000002,3099.0,2675.0,13444.999999999998,6844.0,3104.0,2025.0,12090.0,2871.0,4316.0,13202.000000000002,5440.0,2497.0,1044.0,65297.0,36420.0,1316.0,19221.0,6092.0,2224.0,3206.0,2317.0,10732.0
02,02,100.0,35253.0,4142.0,1578.0,5046.0,2011.0,3286.0,2792.0,4969.0,1991.0,1271.0,1009.0,4404.0,1123.0,1316.0,5515.0,2160.0,967.0,575.0,39767.0,27770.999999999996,765.0,8190.000000000001,2717.0,936.9999999999999,3202.0000000000005,2404.0,7692.0
03,03,100.0,29194.0,3161.0,992.0,3497.9999999999995,1912.0,2311.0,2372.0,5521.0,1311.0,1057.0,455.99999999999994,2908.0,641.0,923.0,7712.0,3388.0000000000005,1144.0,1040.0,8406.0,2050.0,442.0,2896.0,358.0,705.0,2762.0,1935.0000000000002,1306.0
04,04,100.0,43924.0,3628.0,2406.0,4546.0,2269.0,2214.0,2689.0,12016.0,2179.0,2117.0,2095.0,8588.0,1548.0,3218.0,15583.000000000002,5633.0,3769.0,842.0,29329.000000000004,11832.0,3319.0,9774.0,1766.0,1320.0,3833.0,1436.0,7354.000000000001
05,05,100.0,21203.0,434.0,665.0,1176.0,532.0,359.0,933.0,10698.0,1459.0,1415.0,1289.0,6493.000000000001,1300.0,2267.0,10661.0,4640.0,1191.0,2779.0,26207.0,12462.0,1378.0,6396.0,1595.0,1009.0,490.00000000000006,693.0,5126.0
06,06,100.0,25964.999999999996,1473.0,1685.0000000000002,1934.0,1501.0,958.0,1527.0,9188.0,956.0,1135.0,1465.0,5126.0,1074.0,1635.0000000000002,6963.0,2820.0,1374.0,645.0,15610.0,6712.0,1947.0,4110.0,819.0,690.0,4114.0,522.0,3979.9999999999995
07,07,100.0,36424.0,2229.0,2285.0,3485.0,1510.0,1370.0,1637.0,13005.000000000002,2026.0000000000002,1713.0,2493.0,9233.0,1558.0,3403.0,10433.0,4223.0,1941.0,1353.0,36752.0,21601.0,1144.0,9776.0,2930.0,1673.0,2268.0,715.0,9708.0
08,08,100.0,41470.0,2579.0,1867.0000000000002,3849.0,1407.0,1911.0,1966.0,14006.0,3595.0000000000005,3277.0000000000005,1762.0,12572.0,2122.0,5268.0,5568.0,2055.0,910.0,903.9999999999999,58428.0,36181.0,614.0,17735.0,7676.000000000001,1400.0,1860.0000000000002,983.0,12269.0
09,09,100.0,9699.0,391.0,359.0,591.0,408.0,374.0,360.0,3469.0,963.0000000000001,708.0,239.0,2180.0,511.00000000000006,917.0,4260.0,1775.0,653.0,788.0,5233.0,1805.9999999999998,114.99999999999999,1485.0,242.0,326.0,391.0,1108.0,911.0
10,10,100.0,8400.0,121.0,293.0,279.0,126.0,147.0,137.0,3554.9999999999995,755.0,1009.0,109.00000000000001,1479.0,227.99999999999997,577.0,17367.0,7622.0,1445.0,5568.0,9452.0,855.0000000000001,81.0,1265.0,112.99999999999999,290.0,157.0,3770.0000000000005,800.0
11,11,100.0,12924.0,397.0,275.0,657.0,317.0,463.0,307.0,4483.0,1723.9999999999998,1188.0,286.0,4383.0,1060.0,1483.0,14901.0,6452.0,1523.0,3854.9999999999995,11882.0,1331.0,305.0,3253.0,195.0,934.0,321.0,6959.999999999999,1120.0
12,12,100.0,22620.0,1231.0,994.0,1676.0000000000002,602.0,475.0,600.0,10506.0,1893.0,1163.0,1130.0,6652.0,1455.0,2480.0,6627.0,2966.0,799.0,1272.0,26577.999999999996,14930.000000000002,791.0,6295.0,1676.0000000000002,825.0,582.0,849.0,5287.0
