id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,15319.999999999998,19852.0,5766.0,28347.000000000004,67610.0,23169.0,13240.0,10896.0,86896.0,117538.00000000001
02,02,100.0,8635.0,11359.0,3486.9999999999995,16800.0,46254.0,13582.0,7070.999999999999,6548.999999999999,54738.0,70813.0
03,03,100.0,7429.000000000001,7536.0,1689.0,9698.0,31132.0,7481.999999999999,3279.0,1879.0,34197.0,45382.0
04,04,100.0,9292.0,12638.0,3629.9999999999995,15136.000000000002,42680.0,19122.0,14269.0,13536.000000000002,64704.0,79228.0
05,05,100.0,7633.0,10595.0,3067.0,9914.0,23362.0,10554.0,7525.0,5878.0,38066.0,41165.0
06,06,100.0,6163.0,9510.0,2736.0,9010.0,21826.0,10896.0,7989.0,7100.0,38064.0,40164.0
07,07,100.0,9786.0,13826.0,3961.0,14651.0,38089.0,16856.0,11681.0,10113.0,58367.99999999999,64885.0
08,08,100.0,12787.0,17345.0,5376.0,18452.0,49463.0,18483.0,11370.0,9302.0,68877.0,79880.0
09,09,100.0,3235.0,3839.0,1032.0,4896.0,10881.0,3579.9999999999995,1918.0,1193.0,14313.999999999998,19070.0
10,10,100.0,4620.0,5596.0,1389.0,5955.0,12932.0,4655.0,3709.0000000000005,2304.0,19943.0,20764.0
11,11,100.0,6469.0,7408.0,1814.9999999999998,10582.0,20950.0,6334.0,4383.0,2108.0,28137.0,38398.0
12,12,100.0,8005.0,10991.0,3265.9999999999995,9506.0,23164.0,10483.0,7063.0,5218.0,37909.0,40987.0
