id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
0101,01,01,100.0,3709.0000000000005,3946.0,1229.0,7037.0,20244.0,5213.0,2783.0,1907.9999999999998,22223.0,31483.999999999996
0102,01,02,100.0,3091.0,4067.0,1280.0,6573.999999999999,14333.000000000002,5038.0,3299.0,2844.0,19075.0,25422.0
0103,01,03,100.0,4518.0,6341.0,1991.0,6861.0,15194.0,5933.0,3220.0000000000005,2942.0,22302.0,27842.0
0104,01,04,100.0,4297.0,5817.0,1889.0,8731.0,19480.0,7248.999999999999,4237.0,3438.0000000000005,25477.0,36183.0
0201,02,01,100.0,2312.0,3759.0000000000005,1233.0,3754.0,8815.0,3811.0,2030.9999999999998,1929.0,13416.999999999998,14316.999999999998
0202,02,02,100.0,1927.0,2477.0,875.0,3571.0,10592.0,3428.0,1984.0,1753.0,12906.0,16503.0
0203,02,03,100.0,1552.0,2394.0,868.0,3207.0,9772.0,3479.0,1752.0,2244.0,12157.0,16087.0
0204,02,04,100.0,1180.0,1282.0,356.0,2394.0,5719.0,1251.0,731.0,326.0,6444.0,8798.0
0205,02,05,100.0,1755.0,1470.0,341.0,3871.0,12256.0,1805.9999999999998,755.0,358.0,10666.0,16227.000000000002
0301,03,01,100.0,242.0,274.0,57.99999999999999,295.0,759.0,197.0,131.0,95.0,919.9999999999999,1441.0
0302,03,02,100.0,632.0,776.0,227.0,764.0,1802.0,684.0,390.0,263.0,2799.0,2839.0
0303,03,03,100.0,455.99999999999994,495.0,154.0,449.0,1115.0,385.0,235.0,140.0,1589.0,1932.9999999999998
0304,03,04,100.0,1353.0,1485.0,373.0,1422.0,4612.0,1319.0,677.0,445.0,5899.0,6651.000000000001
0305,03,05,100.0,940.0,872.0000000000001,285.0,1288.0,3143.0,809.0,370.0,211.0,3677.0000000000005,5487.0
0306,03,06,100.0,2351.0,2296.0,498.00000000000006,3718.0,12432.0,2539.0,915.0,525.0,12364.0,17401.0
