id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0101,01,01,113520,49731,79342,63789,15553,34178,100.0,43.80813953488372,69.89252995066948,56.191860465116285,13.700669485553208,30.107470049330516
0102,01,02,83877,41476,57813,42401,15412,26064,100.0,49.44859735088284,68.92592725061697,50.55140264911716,18.374524601499814,31.074072749383024
0103,01,03,76667,47638,48502,29029,19473,28165,100.0,62.13625158151487,63.263203203464336,37.86374841848514,25.3994547849792,36.736796796535664
0104,01,04,103901,57156,66233,46745,19488,37668,100.0,55.01005765103319,63.74625845757018,44.98994234896681,18.756316108603382,36.253741542429815
0201,02,01,40475,27797,26084,12678,13406,14391,100.0,68.67696108709079,64.44471896232243,31.3230389129092,33.121680049413214,35.555281037677574
0202,02,02,64502,27257,47657,37245,10412,16845,100.0,42.25760441536697,73.88453071222598,57.74239558463303,16.142135127592944,26.115469287774022
0203,02,03,48553,25679,32383,22874,9509,16170,100.0,52.88859596729347,66.69618767120467,47.11140403270653,19.584783638498134,33.30381232879533
0204,02,04,48229,14344,38732,33885,4847,9497,100.0,29.74144187107342,80.30852806402787,70.25855812892658,10.049969935101286,19.69147193597213
0205,02,05,82215,24677,64669,57538,7131,17546,100.0,30.015204038192543,78.65839566988993,69.98479596180745,8.673599708082467,21.34160433011008
0301,03,01,16584,2764,14466,13820,646,2118,100.0,16.666666666666664,87.22865412445731,83.33333333333334,3.8953207911239747,12.771345875542691
0302,03,02,46668,6111,43461,40557,2904,3207,100.0,13.094625867832347,93.12805348418617,86.90537413216765,6.222679352018514,6.871946515813835
0303,03,03,35098,4076,32688,31022,1666,2410,100.0,11.613197333181379,93.13351188101886,88.38680266681862,4.746709214200239,6.866488118981138
0304,03,04,88235,12917,80889,75318,5571,7346,100.0,14.63931546438488,91.67450558168527,85.36068453561512,6.313821046070153,8.325494418314728
0305,03,05,53437,8724,47462,44713,2749,5975,100.0,16.32576679080038,88.81860882908846,83.67423320919963,5.144375619888841,11.18139117091154
0306,03,06,102535,26818,84255,75717,8538,18280,100.0,26.15497147315551,82.17194128834056,73.84502852684449,8.326912761496075,17.828058711659434
0307,03,07,59732,18424,47357,41308,6049,12375,100.0,30.844438491930624,79.28246166209067,69.15556150806937,10.126900154021296,20.71753833790933
0401,04,01,19451,9461,14262,9990,4272,5189,100.0,48.64017274176135,73.322708344044,51.35982725823865,21.962881085805357,26.677291655955994
