id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01011101,01,01,11,01,3225,1879,1922,1346,576,1303,100.0,58.263565891472865,59.5968992248062,41.736434108527135,17.86046511627907,40.4031007751938
01011102,01,01,11,02,185,77,123,108,15,62,100.0,41.62162162162162,66.48648648648648,58.37837837837838,8.108108108108109,33.513513513513516
01011103,01,01,11,03,5173,2942,3306,2231,1075,1867,100.0,56.872221148269865,63.908757007539144,43.127778851730135,20.780978155809006,36.091242992460856
01011104,01,01,11,04,4786,3138,2876,1648,1228,1910,100.0,65.56623485165065,60.0919348098621,34.43376514834935,25.658169661512748,39.908065190137904
01011105,01,01,11,05,1225,733,706,492,214,519,100.0,59.836734693877546,57.632653061224495,40.16326530612245,17.46938775510204,42.367346938775505
01011201,01,01,12,01,2310,1304,1432,1006,426,878,100.0,56.45021645021645,61.99134199134198,43.54978354978355,18.441558441558442,38.00865800865801
01011202,01,01,12,02,607,301,378,306,72,229,100.0,49.588138385502475,62.27347611202636,50.41186161449753,11.86161449752883,37.72652388797364
01011203,01,01,12,03,1086,565,681,521,160,405,100.0,52.02578268876611,62.70718232044199,47.974217311233886,14.732965009208105,37.29281767955801
01011204,01,01,12,04,7869,3719,5385,4150,1235,2484,100.0,47.26140551531326,68.43309187952727,52.73859448468674,15.694497394840514,31.566908120472743
01011301,01,01,13,01,6781,2844,4725,3937,788,2056,100.0,41.94071670845008,69.67998820233004,58.059283291549924,11.62070491078012,30.32001179766996
01011302,01,01,13,02,12677,4931,9291,7746,1545,3386,100.0,38.89721542951802,73.29021061765401,61.10278457048197,12.187426047172044,26.70978938234598
01011303,01,01,13,03,9898,4501,6582,5397,1185,3316,100.0,45.473833097595474,66.49828248130936,54.526166902404526,11.97211557890483,33.50171751869064
01011304,01,01,13,04,8666,3288,6561,5378,1183,2105,100.0,37.941380106162015,75.70966997461343,62.058619893837985,13.651050080775445,24.29033002538657
