id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,377965,22826,27049,8206,51273,131623,50875,37520,48593,181702,126075,100.0,6.0391835222838095,7.156482743111135,2.171100498723427,13.565541782969323,34.82412392681862,13.460241027608378,9.926845078247986,12.856481420237323,48.073763443705104,33.356263146058495
02,02,283974,18272,19662,5706,31245,115867,38836,25963,28423,138150,74449,100.0,6.434391880946848,6.9238733123454965,2.0093388831371883,11.002767859029348,40.801974828681495,13.675899906329454,9.142738419714481,10.009014909815688,48.648819962390924,26.216836752660456
03,03,402289,27624,33588,8833,31804,133514,65989,40800,60137,204650,51711,100.0,6.86670527904069,8.349221579511248,2.195685191491689,7.905759292448961,33.18857836033299,16.403381648516365,10.141962618913269,14.948706029744784,50.871388479426486,12.85419188692706
04,04,338831,16178,21142,6922,33528,85492,50952,45826,78791,174698,82730,100.0,4.774651670006581,6.2396888124168095,2.042906345641337,9.895198491283265,25.231457570293152,15.037585108800553,13.5247365205663,23.253775480991997,51.559036805959316,24.4163019322317
05,05,242143,14668,20485,6773,25190,55519,35142,31132,53234,123443,45906,100.0,6.05757754715189,8.45987701482182,2.7971074943318617,10.402943715077456,22.92818706301648,14.512911791792455,12.856865571170756,21.984529802637283,50.97937995316817,18.958218903705664
06,06,307076,15772,24121,8167,28178,63649,47670,40495,79024,162094,43142,100.0,5.136187784131615,7.85505868254113,2.6596021831728955,9.1762299886673,20.72744206645912,15.523844260052885,13.187289140147715,25.73434589482734,52.78628092068413,14.049290729330849
07,07,348739,19276,25357,8237,35090,89133,52954,45872,72820,178054,68397,100.0,5.5273427979090375,7.271053710654673,2.3619382976954113,10.061966112192785,25.55865561351039,15.184421587490931,13.1536765317329,20.88094534881387,51.05652077915003,19.612661618000853
08,08,329387,20267,24916,8088,35253,101529,44682,36786,57866,165129,82445,100.0,6.1529447124507035,7.564354391642658,2.4554703130360336,10.70260817822197,30.82362084721012,13.565198383664201,11.168018167080062,17.567785006694255,50.13221529689999,25.02982813529374
09,09,264999,15948,18803,5684,21472,70829,39429,33161,59673,135114,22412,100.0,6.018135917494028,7.095498473579146,2.144913754391526,8.10267208555504,26.728025388775052,14.87892407141159,12.513632126913688,22.51819818187993,50.98660749663206,8.457390405246812
10,10,266684,17134,22274,6343,21335,66890,36541,44396,51771,134364,26257,100.0,6.424832385894917,8.352207106538074,2.3784703994240375,8.000104993175444,25.082119662221956,13.701984371015886,16.64741791783534,19.412863163894347,50.38322509036912,9.845735027223231
11,11,286246,18668,21142,5779,27121,85315,35885,36006,56330,144256,42871,100.0,6.521663184813063,7.385954738232151,2.018892840423971,9.474717550638262,29.804783298281894,12.536419722895692,12.578691055944887,19.67887760877008,50.395813391278836,14.976977844231884
12,12,263597,15472,21593,7345,26176,57063,38965,34472,62511,134268,44887,100.0,5.869566042102148,8.191671377140104,2.786450528647898,9.930310284259685,21.647818450134107,14.782034696904745,13.077538818727072,23.71460980208424,50.93684677746712,17.02864600128226
