id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0101,01,01,100.0,19592.0,2324.0,742.0,2333.0,1145.0,1634.0,1737.0,2509.0,1213.0,850.0,383.0,1767.0000000000002,257.0,521.0,6893.000000000001,3218.0,1304.0,342.0,10784.0,2930.0,658.0,5066.0,474.0,1313.0,1889.9999999999998,2782.0,1491.0
0102,01,02,100.0,13908.000000000002,1174.0,739.0,1414.0,488.0,745.0,710.0,3313.0000000000005,1380.0,924.0,668.0,2839.0,514.0,977.0,3283.0,1292.0,770.0,185.0,15468.0,6528.0,548.0,6230.0,1744.0000000000002,1459.0,365.0,818.0,2519.0
0103,01,03,100.0,12286.0,655.0,884.0,1014.0,363.0,531.0,488.99999999999994,2984.0,2108.0,1080.0,571.0,3470.0000000000005,838.0000000000001,1152.0,2809.0,1186.0,501.99999999999994,326.0,24438.0,14158.000000000002,236.0,7344.0,2266.0,1538.0,238.0,521.0,3739.0
0104,01,04,100.0,18081.0,1206.0,1130.0,1572.0,488.0,727.0,680.0,4491.0,3331.0,1360.0,699.0,4008.0,1009.0,1207.0,2835.0,1164.0,493.0,221.0,24525.0,13044.0,404.0,7915.000000000001,2010.0000000000002,1678.0,443.0,751.0,3528.0
0201,02,01,100.0,4319.0,331.0,322.0,533.0,186.0,242.0,263.0,855.0000000000001,572.0,163.0,181.0,874.0,277.0,259.0,1556.0,595.0,282.0,112.99999999999999,16166.0,10741.0,272.0,4272.0,1320.0,778.0,163.0,310.0,3310.0
0202,02,02,100.0,10478.0,1286.0,538.0,1499.0,580.0,814.0,1087.0,1374.0,525.0,390.0,476.99999999999994,1387.0,270.0,364.0,1047.0,450.0,171.0,65.0,8859.0,5119.0,297.0,2768.0,927.9999999999999,577.0,90.0,1394.0,1648.9999999999998
0203,02,03,100.0,7283.0,860.0,364.0,1105.0,446.0,641.0,811.0,717.0,430.99999999999994,211.0,175.0,765.0,202.0,206.99999999999997,543.0,191.0,97.0,50.0,11728.0,9473.0,189.0,1549.0,343.0,313.0,33.0,927.0,2126.0
0204,02,04,100.0,6033.0,528.0,200.0,697.0,271.0,509.0,438.99999999999994,1019.0,436.00000000000006,453.0,120.0,814.0,157.0,229.99999999999997,1930.9999999999998,827.9999999999999,330.0,189.0,3264.0,789.0,128.0,1376.0,89.0,445.0,1561.0,472.0,484.0
0205,02,05,100.0,13328.0,1769.0000000000002,443.0,2082.0,690.0,1212.0,1265.0,1621.0,436.00000000000006,562.0,209.0,1078.0,250.99999999999997,335.0,2309.0,919.9999999999999,430.0,263.0,3953.0,871.0000000000001,146.0,1876.0000000000002,104.0,739.0,1045.0,1418.0,580.0
0301,03,01,100.0,852.0,9.0,25.0,41.0,28.000000000000004,27.0,39.0,361.0,79.0,48.0,21.0,166.0,47.0,47.0,550.0,248.0,80.0,56.99999999999999,1386.0,91.0,60.0,626.0,27.0,234.0,183.0,28.000000000000004,23.0
