id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01011101,01,01,11,01,100.0,137.0,133.0,33.0,336.0,826.0,181.0,197.0,180.0,971.0000000000001,1336.0
01011102,01,01,11,02,100.0,0.0,4.0,3.0,10.0,41.0,8.0,10.0,0.0,27.0,60.0
01011103,01,01,11,03,100.0,197.0,254.99999999999997,95.0,344.0,977.9999999999999,389.0,351.0,360.0,1407.0,1797.0
01011104,01,01,11,04,100.0,182.0,324.0,94.0,520.0,1059.0,337.0,223.0,200.99999999999997,1351.0,1753.0
01011105,01,01,11,05,100.0,81.0,70.0,21.0,117.0,428.0,164.0,99.0,71.0,482.0,795.0
01011201,01,01,12,01,100.0,106.0,115.99999999999999,31.0,216.0,546.0,199.0,124.0,118.0,691.0,997.0000000000001
01011202,01,01,12,02,100.0,27.0,20.0,15.0,16.0,139.0,52.0,15.0,18.0,151.0,218.00000000000003
01011203,01,01,12,03,100.0,56.00000000000001,53.0,6.0,63.0,246.0,80.0,49.0,46.0,289.0,387.0
01011204,01,01,12,04,100.0,391.0,369.0,96.0,433.0,1805.0,479.0,362.0,348.0,2152.0,2825.0
01011301,01,01,13,01,100.0,244.0,198.0,54.0,331.0,1468.0,348.0,170.0,123.0,1414.0,2065.0
01011302,01,01,13,02,100.0,413.99999999999994,490.00000000000006,134.0,447.0,2310.0,630.0,300.0,204.0,2427.0,3210.0
01011303,01,01,13,03,100.0,331.0,349.0,96.0,655.0,2309.0,508.0,280.0,197.0,2256.0,3379.9999999999995
01011304,01,01,13,04,100.0,387.0,433.0,146.0,526.0,1357.0,417.0,289.0,285.0,1959.0,2390.0
01011305,01,01,13,05,100.0,371.0,275.0,78.0,400.0,1798.0,476.0,231.99999999999997,247.00000000000003,1813.0,2565.0
01011306,01,01,13,06,100.0,377.0,348.0,71.0,1054.0,2032.0,490.00000000000006,250.99999999999997,221.0,2409.0,3234.0000000000005
01011401,01,01,14,01,100.0,724.0,758.0,165.0,832.0,3949.0,896.0000000000001,306.0,186.0,3933.0,5446.0
01011402,01,01,14,02,100.0,539.0,513.0,78.0,473.00000000000006,2775.0,659.0,193.0,161.0,2706.0,3564.0
01022101,01,02,21,01,100.0,132.0,190.0,50.0,267.0,750.0,218.00000000000003,167.0,123.0,847.0000000000001,1284.0
01022102,01,02,21,02,100.0,291.0,368.0,105.0,713.0,1586.0,559.0,370.0,294.0,1988.0,2959.0
01022103,01,02,21,03,100.0,22.0,45.0,21.0,31.0,62.0,21.0,11.0,6.0,109.00000000000001,159.0
01022104,01,02,21,04,100.0,638.0,841.0,250.99999999999997,1303.0,3447.9999999999995,1188.0,886.9999999999999,839.0,4341.0,6092.0
01022105,01,02,21,05,100.0,235.0,305.0,102.0,457.0,1063.0,419.00000000000006,212.0,254.0,1395.0,1868.0
01022106,01,02,21,06,100.0,303.0,360.0,111.00000000000001,434.99999999999994,1524.0,463.0,384.0,405.0,1982.9999999999998,2226.0
01022201,01,02,22,01,100.0,413.0,503.0,160.0,764.0,2072.0,699.0,447.0,390.0,2568.0,3299.0
01022202,01,02,22,02,100.0,263.0,231.99999999999997,54.0,348.0,1391.0,220.00000000000003,110.00000000000001,123.0,1282.0,1750.0
01022203,01,02,22,03,100.0,347.0,541.0,152.0,493.0,1334.0,533.0,348.0,455.0,2063.0,2375.0
01022204,01,02,22,04,100.0,192.0,212.0,76.0,290.0,1034.0,340.0,231.0,202.99999999999997,1219.0,1540.0
01022205,01,02,22,05,100.0,224.00000000000003,305.0,91.0,239.0,596.0,214.0,204.99999999999997,229.0,1027.0,1078.0
01022206,01,02,22,06,100.0,91.0,126.0,45.0,134.0,501.0,157.0,122.0,128.0,632.0,710.0
01022207,01,02,22,07,100.0,125.0,126.0,49.0,685.0,1028.0,257.0,188.0,222.00000000000003,1280.0,1898.9999999999998
01033101,01,03,31,01,100.0,1577.0,2204.0,664.0,2227.0,5540.0,2078.0,1349.0,1153.0,7927.0,10865.0
01033102,01,03,31,02,100.0,568.0,859.0,275.0,1026.0,2329.0,1000.0,573.0,526.0,3419.0,4381.0
01033201,01,03,32,01,100.0,973.0,1462.0,426.99999999999994,1010.0,2860.0,1175.0,797.0,780.0,4695.0,4355.0
01033202,01,03,32,02,100.0,545.0,790.0,235.0,861.0,1909.0,697.0,567.0,559.0,3055.0,3120.0
01033203,01,03,32,03,100.0,727.0,1154.0,404.0,1312.0,3180.0,1238.0,727.0,631.0,4361.0,5810.0
01044101,01,04,41,01,100.0,811.0,1027.0,332.0,1250.0,3757.0,1334.0,893.0,839.0,4810.0,6429.000000000001
01044102,01,04,41,02,100.0,689.0,741.0,195.0,766.0,2516.0,856.0,663.0,599.0,3397.0,4092.0
01044103,01,04,41,03,100.0,331.0,426.99999999999994,150.0,760.0,1778.0,608.0,380.0,282.0,2271.0,3253.0
01044201,01,04,42,01,100.0,1306.0,1927.0,629.0,2133.0,5354.0,2231.0,1467.0,1192.0,7612.0,10210.0
01044202,01,04,42,02,100.0,619.0,849.0,288.0,1855.0,3914.0,1039.0,725.0,545.0,4429.0,6786.0
01044203,01,04,42,03,100.0,640.0,967.0,314.0,1158.0,3222.9999999999995,1288.0,889.0,902.9999999999999,4402.0,6114.0
02010101,02,01,01,01,100.0,302.0,475.0,142.0,580.0,1714.0,617.0,388.0,284.0,2143.0,2626.0
02010102,02,01,01,02,100.0,759.0,1302.0,436.00000000000006,1019.9999999999999,2943.0,1289.0,872.0000000000001,843.0,4760.0,4684.0
02010103,02,01,01,03,100.0,877.0,1349.0,455.99999999999994,1186.0,3314.0,1582.0,1052.0,952.0,5249.0,5442.0
02010104,02,01,01,04,100.0,229.99999999999997,437.0,153.0,369.0,985.0,465.00000000000006,311.0,349.0,1607.0,1619.0000000000002
02020201,02,02,02,01,100.0,87.0,107.0,17.0,79.0,309.0,69.0,43.0,64.0,362.0,438.0
02020202,02,02,02,02,100.0,212.0,252.0,87.0,324.0,1013.0000000000001,343.0,249.00000000000003,210.0,1300.0,1718.0
