id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
010111,01,01,11,100.0,2259.0,263.0,132.0,254.0,95.0,182.0,463.99999999999994,159.0,191.0,68.0,165.0,337.0,80.0,121.0,1314.0,567.0,309.0,82.0,3010.0,815.0,223.0,1522.0,259.0,271.0,67.0,200.0,446.0
010112,01,01,12,100.0,1732.0,142.0,65.0,179.0,95.0,124.0,211.0,344.0,102.0,40.0,133.0,181.0,34.0,63.0,1514.0,790.0,257.0,61.0,1335.0,274.0,75.0,722.0,61.0,213.0,257.0,231.0,248.0
010113,01,01,13,100.0,7156.999999999999,801.0,243.00000000000003,996.0000000000001,453.0,685.0,1087.0,501.0,356.0,178.0,830.0000000000001,877.0,114.99999999999999,210.0,2989.0,1403.0,505.0,191.0,5203.0,1567.0,303.0,2168.0,150.0,653.0,1473.0,1388.0,813.0000000000001
010114,01,01,14,100.0,4858.0,653.0,222.00000000000003,755.0,421.0,425.0,588.0,181.0,214.0,65.0,717.0,306.0,40.0,97.0,1326.0,619.0,246.0,48.0,1854.0,376.0,134.0,856.0,36.0,220.00000000000003,166.0,1075.0,294.0
010221,01,02,21,100.0,6684.0,530.0,400.0,725.0,242.0,324.0,1632.9999999999998,867.0,519.0,373.0,371.0,1727.0,311.0,656.0,1516.0,576.0,340.0,104.0,8233.0,3014.0,291.0,3681.0,1026.0,803.9999999999999,206.99999999999997,470.0,1274.0
010222,01,02,22,100.0,5636.0,509.0,316.0,642.0,262.0,401.0,1323.0,482.0,344.0,236.0,358.0,1118.0,237.0,332.0,1978.0,857.0,447.0,123.0,7581.0,3408.0,293.0,2882.0,741.0,735.0,160.0,422.0,1424.0
010331,01,03,31,100.0,6191.0,279.0,626.0,529.0,159.0,213.0,1384.0,1406.0,580.0,309.0,257.0,2054.0,519.0,720.0,1087.0,450.0,174.0,94.0,11333.0,6365.0,106.0,3424.0,865.0,811.0,90.0,217.0,1642.0000000000002
010332,01,03,32,100.0,4670.0,317.0,206.99999999999997,491.0,184.0,257.0,1384.0,507.0,308.0,283.0,216.0,1501.0,312.0,421.0,1629.0,723.0,311.0,221.0,13019.999999999998,7559.999999999999,129.0,4083.0,1388.0,802.9999999999999,131.0,338.0,2184.0
010441,01,04,41,100.0,6627.0,459.0,370.0,661.0,167.0,264.0,1907.0,1189.0,403.0,356.0,277.0,1753.0,380.0,444.00000000000006,1159.0,490.00000000000006,209.0,81.0,8686.0,4413.0,178.0,2756.0,503.0,711.0,189.0,263.0,1420.0
010442,01,04,42,100.0,9599.0,596.0,696.0,786.0,307.0,424.0,2108.0,2166.0,909.0,330.0,461.00000000000006,2324.0,717.0,758.0,1567.0,604.0,308.0,137.0,15649.0,8287.0,257.0,5111.0,1455.0,994.9999999999999,235.0,466.0,2142.0
020101,02,01,01,100.0,4156.0,339.0,307.0,532.0,191.0,260.0,880.0000000000001,593.0,169.0,188.0,264.0,859.0,275.0,225.99999999999997,1448.0,582.0,306.0,89.0,15943.0,10418.0,254.99999999999997,4363.0,1365.0,840.0,175.0,298.0,3221.0
020202,02,02,02,100.0,9545.0,1350.0,579.0,1589.0,582.0,855.0000000000001,1305.0,521.0,372.0,448.00000000000006,1103.0,1335.0,257.0,378.0,1057.0,448.00000000000006,183.0,72.0,8805.0,5077.0,299.0,2745.0,877.9999999999999,554.0,91.0,1376.0,1568.0
020303,02,03,03,100.0,2418.0,366.0,130.0,389.0,174.0,225.99999999999997,229.99999999999997,193.0,80.0,86.0,280.0,359.0,113.99999999999999,97.0,221.0,64.0,47.0,18.0,6840.000000000001,5638.0,69.0,861.0,166.0,200.99999999999997,25.0,341.0,1239.0
020304,02,03,04,100.0,3911.0,533.0,198.0,691.0,254.99999999999997,434.99999999999994,476.0,210.0,120.0,88.0,497.0,415.00000000000006,76.0,146.0,356.0,121.0,56.99999999999999,37.0,4819.0,3726.0,104.0,663.0,176.0,136.0,22.0,619.0,859.0
020405,02,04,05,100.0,2511.0,279.0,89.0,326.0,130.0,225.0,476.0,176.0,125.0,86.0,214.0,383.0,80.0,130.0,894.9999999999999,372.0,164.0,94.0,1283.0,257.0,56.99999999999999,574.0,31.0,241.0,840.0,163.0,252.99999999999997
020407,02,04,07,100.0,3184.0,283.0,83.0,400.0,129.0,298.0,542.0,271.0,360.0,61.0,290.0,570.0,91.0,172.0,1137.0,495.0,211.0,92.0,2254.0,548.0,93.0,1037.0,71.0,323.0,781.0,305.0,360.0
020506,02,05,06,100.0,4459.0,636.0,168.0,781.0,277.0,441.0,634.0,167.0,174.0,108.0,413.99999999999994,436.00000000000006,130.0,97.0,963.0000000000001,375.0,191.0,112.00000000000001,1420.0,274.0,66.0,641.0,46.0,237.0,471.0,505.0,171.0
020508,02,05,08,100.0,8063.0,1181.0,322.0,1316.0,447.0,819.9999999999999,1056.0,295.0,405.99999999999994,135.0,878.9999999999999,740.0,171.0,250.99999999999997,1575.0,663.0,287.0,174.0,2770.0,653.0,126.0,1325.0,52.0,541.0,656.0,1005.0000000000001,359.0
