id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
011001,01,10,01,15155,765,981,308,1911,5101,1840,1926,2323,6986,6056,100.0,5.0478389970306825,6.473111184427581,2.032332563510393,12.609699769053117,33.65885846255362,12.141207522269879,12.708677004289012,15.32827449686572,46.096997690531175,39.96040910590564
011002,01,10,02,12934,701,692,226,1200,4599,1613,1624,2279,6253,4829,100.0,5.419823720426782,5.350239678367095,1.7473326117210455,9.27787227462502,35.55744549250039,12.471006649141797,12.556053811659194,17.620225761558682,48.345446111025204,37.33570434513685
011003,01,10,03,59073,3350,3658,976,5951,21792,7781,6355,9210,28919,18304,100.0,5.670949503157111,6.192338293298123,1.652193049278012,10.073976266653125,36.88994972322381,13.171838234049396,10.7578758485264,15.590879081814027,48.95468318859716,30.98539095695157
011004,01,10,04,31286,2152,2591,623,2625,13453,5251,2692,1899,15500,9127,100.0,6.878475995653008,8.281659528223487,1.9913060154701783,8.390334334846257,43.00006392635684,16.78386498753436,8.604487630249952,6.069807581665921,49.542926548615995,29.172792942530208
012005,01,20,05,45619,2448,2899,946,6117,16437,5366,5517,5889,21567,14839,100.0,5.366185142155681,6.3548083035577285,2.0736973629408797,13.40888664810715,36.031039698371295,11.762642758499748,12.093645191696442,12.90909489467108,47.276354150682835,32.528113286130775
012006,01,20,06,41613,2436,2809,864,5384,15337,4794,4338,5651,19975,13716,100.0,5.8539398745584315,6.7502943791603585,2.076274241222695,12.938264484656237,36.85627087688943,11.520438324562036,10.424626919472281,13.579890899478528,48.001826352341816,32.96085357941028
013007,01,30,07,37883,2586,3564,1100,5377,13050,4495,3768,3943,18139,15208,100.0,6.8262809175619665,9.407913839980994,2.903677111105245,14.193701660375366,34.44816936356677,11.865480558561888,9.946413958767785,10.408362590079983,47.88163556212549,40.14465591426234
013008,01,30,08,39283,2709,3878,1209,5363,12447,4601,4074,5002,19228,13376,100.0,6.896112822340453,9.871954789603645,3.0776671842781864,13.652215971285289,31.685461904640682,11.712445587149658,10.370898352977115,12.733243387724972,48.9473818191075,34.05035256981391
014009,01,40,09,45377,2606,2943,925,5303,15230,5269,5566,7535,22497,13794,100.0,5.742997553826829,6.4856645437115725,2.038477642858717,11.686537232518678,33.563258919717036,11.611609405646032,12.266126010974723,16.60532869074641,49.5779800339379,30.398660114154747
014010,01,40,10,55946,3264,4240,1394,8202,20969,6432,5722,5723,26330,23254,100.0,5.834197261645158,7.578736638901798,2.4916884138276196,14.660565545347298,37.480785042719766,11.496800486183105,10.22771958674436,10.229507024630895,47.06323955242555,41.565080613448686
021001,02,10,01,40417,2517,3877,1294,5144,12628,5315,4631,5011,19862,14217,100.0,6.227577504515427,9.59249820620036,3.201623079397283,12.727317712843606,31.244278397703933,13.15040700695252,11.458049830516861,12.398248261870005,49.142687482989835,35.175792364599054
022002,02,20,02,64670,3943,4647,1409,5971,23510,9091,8726,7373,31798,17070,100.0,6.097108396474408,7.185712076697078,2.1787536724911085,9.233029225297665,36.353796196072366,14.057522808102673,13.493118911396321,11.400958713468377,49.16963043142106,26.39554662130818
023003,02,30,03,20342,1020,1509,503,2069,6922,3086,2791,2442,9755,6920,100.0,5.014256218660899,7.418149641136565,2.4727165470455215,10.171074623930783,34.02811916232425,15.170583030183856,13.720381476747615,12.004719299970503,47.95497001278144,34.018287287385704
023004,02,30,04,26701,1426,1793,563,2530,10664,3964,3152,2609,12766,8629,100.0,5.340623946668664,6.715104303209618,2.1085352608516534,9.475300550541178,39.93857907943523,14.845885921875585,11.804801318302685,9.771169619115389,47.810943410359165,32.317141680086884
024005,02,40,05,24708,1599,1641,391,2094,9375,2873,2468,4267,12542,4992,100.0,6.471588149587178,6.6415735794074795,1.5824834061842319,8.474987858183585,37.94317629917436,11.627812854136312,9.98866763801198,17.26971021531488,50.76088716205278,20.20398251578436
024006,02,40,06,25720,1490,1600,421,2976,10081,2853,2448,3851,12521,7400,100.0,5.793157076205287,6.2208398133748055,1.6368584758942455,11.57076205287714,39.19517884914463,11.09253499222395,9.517884914463453,14.972783825816485,48.68195956454121,28.771384136858476
025007,02,50,07,31197,2075,2125,505,2795,15786,3980,2225,1706,14912,7508,100.0,6.651280571849857,6.811552392858287,1.618745392185146,8.959194794371253,50.60101932878162,12.757636952271051,7.132096034875149,5.468474532807642,47.79946789755425,24.066416642625892
025008,02,50,08,55151,3848,3618,785,5298,27997,6965,3793,2847,26243,14381,100.0,6.977208028866204,6.560171166433972,1.4233649435187032,9.606353465938968,50.7642653805008,12.628964116697794,6.877481822632409,5.162191075411144,47.58390600351762,26.0756831245127
031001,03,10,01,16606,1227,1514,395,1337,4384,1865,2030,3854,8445,2291,100.0,7.3888955799108755,9.117186559075034,2.3786583162712276,8.051306756594002,26.400096350716606,11.23088040467301,12.224497169697699,23.208478863061544,50.85511260990003,13.796218234373118
032002,03,20,02,28523,1715,2895,855,2198,6768,4715,4157,5220,14596,2675,100.0,6.012691512113031,10.14970374785261,2.997580899624864,7.70606177470813,23.728219331767345,16.530519230095013,14.574203274550362,18.301020229288646,51.17273779055499,9.378396381867265
032003,03,20,03,18431,1182,1891,544,1308,4274,2721,3123,3388,9370,1254,100.0,6.413108350062395,10.259888231783409,2.9515490206716946,7.096739189409147,23.18919212196842,14.76317074494059,16.94427866095166,18.382073680212685,50.83826162443709,6.803754543974826
033004,03,30,04,19526,1387,1979,550,1441,4594,2664,3037,3874,10063,1513,100.0,7.103349380313428,10.135204342927379,2.8167571443203934,7.379903718119431,23.52760422001434,13.64334733176278,15.553620813274607,19.840213049267643,51.53641298781112,7.7486428351941
033005,03,30,05,15745,846,1399,420,1095,3216,2356,2842,3571,7796,1343,100.0,5.3731343283582085,8.885360431883138,2.6675134963480467,6.954588758335979,20.425531914893615,14.963480469990472,18.050174658621785,22.68021594156875,49.51413147030803,8.529691965703398
034006,03,40,06,18735,1034,1741,584,1517,4111,2954,2940,3854,9653,1689,100.0,5.519081932212436,9.29276754737123,3.117160394982653,8.097144382172404,21.942887643448092,15.767280491059516,15.692554043234589,20.57112356551908,51.52388577528689,9.015212169735788
034007,03,40,07,37105,2578,3904,940,2819,10596,5597,4259,6412,19661,3688,100.0,6.9478506939765525,10.52149306023447,2.5333513003638326,7.5973588465166415,28.556798275165075,15.084220455464223,11.478237434308044,17.280689933971164,52.987467996226925,9.93936127206576
034008,03,40,08,35887,2215,2964,716,2804,11890,5105,4241,5952,18684,4682,100.0,6.172151475464653,8.259258227213197,1.9951514475994092,7.8134143283083,33.13177473737008,14.225206899434337,11.817649845347898,16.58539303926213,52.06342129461922,13.046507091704518
035009,03,50,09,39359,2736,3630,928,3248,13526,5687,4387,5217,19885,5845,100.0,6.9513961228689745,9.2227952945959,2.3577834802713484,8.252242180949718,34.36571051093778,14.449045961533574,11.146116517187938,13.254909931654769,50.522116923702335,14.850478924769432
035010,03,50,10,15961,965,1223,332,1205,4506,1951,2137,3642,8286,1976,100.0,6.045987093540505,7.662427166217656,2.0800701710419145,7.549652277426226,28.231313827454418,12.223544890671011,13.388885408182444,22.818119165465824,51.91404047365453,12.380176680659106
036011,03,60,11,26886,1761,2126,483,2446,11708,4511,2064,1787,13246,6184,100.0,6.54987725954028,7.9074611321877555,1.7964740013389868,9.097671650673213,43.54682734508666,16.778248902774678,7.676857844231198,6.646581864167224,49.26727664955739,23.00081826973146
036012,03,60,12,27261,1527,1627,421,2356,11243,3956,2713,3418,13910,4986,100.0,5.601408605700451,5.9682330068596166,1.5443307288800852,8.64238289130993,41.242067422324936,14.511573309856571,9.95194600344815,12.538058031620263,51.02527420123987,18.289864641795972
036013,03,60,13,22495,1404,2038,551,1879,8869,4656,2083,1015,11203,4891,100.0,6.241386974883308,9.05979106468104,2.4494332073794176,8.352967326072461,39.42653923094021,20.697932873971993,9.259835519004223,4.512113803067348,49.80217826183596,21.742609468770837
036014,03,60,14,27230,1656,2209,527,2231,8557,3395,2826,5829,13994,5363,100.0,6.0815277267719425,8.112376055820786,1.9353654058024239,8.193169298567756,31.424899008446566,12.467866323907455,10.378259272860815,21.406536907822254,51.391847227322806,19.695189129636432
037015,03,70,15,27252,1907,2386,761,2280,10402,5089,2798,1629,13463,6785,100.0,6.997651548510202,8.755320710406576,2.792455599589021,8.366358432408632,38.16967562013797,18.673858799354175,10.267136356964626,5.977542932628798,49.40187876119184,24.897255247321297
037016,03,70,16,33470,2154,3159,899,2789,12123,6030,3457,2859,16877,6798,100.0,6.435613982671049,9.438302957872722,2.685987451449059,8.332835374962654,36.2204959665372,18.01613385121004,10.32865252464894,8.541977890648342,50.42426053181954,20.31072602330445
041001,04,10,01,19272,1138,1615,451,1940,4855,2526,2543,4204,9863,5623,100.0,5.904939809049399,8.380033208800333,2.3401826484018264,10.066417600664176,25.191988376919884,13.107098381070983,13.195309256953092,21.814030718140305,51.17787463677874,29.177044416770443
042002,04,20,02,12850,497,1026,350,1376,2345,1670,1849,3737,6606,2541,100.0,3.867704280155642,7.98443579766537,2.7237354085603114,10.70817120622568,18.249027237354085,12.996108949416344,14.38910505836576,29.08171206225681,51.40856031128405,19.77431906614786
042003,04,20,03,28462,1331,1818,616,2966,6628,3568,3902,7633,14807,6128,100.0,4.676410652800224,6.38746398707048,2.164289227742253,10.420912093317405,23.28718993746047,12.536012929520062,13.709507413393297,26.8182137586958,52.023750966200545,21.530461668189165
043004,04,30,04,42742,2135,2703,902,4444,11965,5619,6182,8792,22028,10801,100.0,4.995086799868981,6.323990454354031,2.1103364372280193,10.39726732487951,27.993542651256377,13.146319779139956,14.463525338074962,20.569931215198164,51.53712975527584,25.270226007206027
043005,04,30,05,15418,773,869,257,1732,5053,1948,2259,2527,7744,4280,100.0,5.013620443637308,5.6362692956284866,1.666882864184719,11.233623038007522,32.773381761577376,12.634582954987678,14.651705798417433,16.389933843559476,50.22700739395511,27.759761317940068
043006,04,30,06,49499,2379,2771,861,5314,15245,6499,6734,9696,24885,15267,100.0,4.806157700155559,5.59809289076547,1.739429079375341,10.73557041556395,30.798601991959433,13.12955817289238,13.604315238691692,19.588274510596175,50.273742903897045,30.84304733428958
044007,04,40,07,19796,1016,1470,454,1572,4229,2674,2807,5574,10400,4338,100.0,5.132349969690846,7.425742574257425,2.293392604566579,7.940998181450798,21.36290159628208,13.507779349363508,14.17963224893918,28.157203475449588,52.53586583148111,21.913517882400484
044008,04,40,08,33705,1618,2358,730,2692,7047,4491,5044,9725,18138,5732,100.0,4.800474707016763,6.995994659546062,2.165850763981605,7.986945557039014,20.907877169559413,13.324432576769023,14.96513870345646,28.853285862631655,53.81397418780597,17.006378875537752
045009,04,50,09,27570,1364,1625,523,2547,7349,3719,3970,6473,14189,7084,100.0,4.94740660137831,5.8940877765687345,1.8969894813202757,9.238302502720348,26.655785273848387,13.48929996372869,14.399709829524845,23.47841857091041,51.46536089952848,25.69459557490025
045010,04,50,10,40377,1782,2353,720,3431,10472,5471,6217,9931,20410,11249,100.0,4.41340367040642,5.82757510463878,1.7831934021844118,8.497411892909328,25.935557371771058,13.549793199098497,15.39737969636179,24.595685662629716,50.54857963692201,27.859920251628402
045011,04,50,11,49320,2360,3305,1059,4840,13522,6530,6989,10715,25198,12057,100.0,4.785077047850771,6.701135442011355,2.1472019464720193,9.813463098134632,27.416869424168695,13.240064882400649,14.170721816707218,21.725466342254663,51.09083536090835,24.44647201946472
051001,05,10,01,26678,1749,2032,591,2407,6599,3062,3776,6462,13864,4225,100.0,6.555963715420946,7.616762875777794,2.2153084938900967,9.022415473423795,24.735737311642552,11.477622010645476,14.15398455656346,24.222205562635878,51.9679136367044,15.837019266811605
051002,05,10,02,41994,2557,3843,1200,4104,9779,5164,5945,9402,21723,9426,100.0,6.088965090250988,9.151307329618517,2.8575510787255323,9.77282468924132,23.286659999047483,12.296994808782207,14.156784302519407,22.388912701814544,51.72881840262895,22.446063723389056
051003,05,10,03,38145,2545,3310,1017,4414,10924,4758,4867,6310,18938,11661,100.0,6.671909817800498,8.677415126491022,2.6661423515532836,11.571634552365973,28.638091492987282,12.473456547384979,12.759208284178792,16.542141827238172,49.64739808624984,30.57019268580417
052004,05,20,04,23338,1320,2026,657,2222,4861,3016,3754,5482,11963,3244,100.0,5.656011654811895,8.68112091867341,2.815151255463193,9.52095295226669,20.828691404576226,12.92312965978233,16.085354357699888,23.48958779672637,51.259748050389916,13.900077127431656
