id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
011001,01,10,01,15886,10182,9244,5704,3540,6642,100.0,64.09417096814806,58.189600906458516,35.905829031851944,22.283771874606572,41.810399093541484
011002,01,10,02,13688,7967,8096,5721,2375,5592,100.0,58.20426651081239,59.14669783752192,41.79573348918761,17.35096434833431,40.85330216247808
011003,01,10,03,60754,29136,40825,31618,9207,19929,100.0,47.957336142476215,67.19722158211805,52.042663857523785,15.154557724594264,32.80277841788195
011004,01,10,04,31957,14390,22031,17567,4464,9926,100.0,45.02925806552555,68.93951246988141,54.970741934474454,13.968770535406952,31.060487530118596
012005,01,20,05,46272,24013,30651,22259,8392,15621,100.0,51.895314661134165,66.24092323651453,48.104685338865835,18.136237897648684,33.75907676348548
012006,01,20,06,42641,23594,27968,19047,8921,14673,100.0,55.331722989610945,65.58945615721957,44.66827701038906,20.921179146830514,34.41054384278042
013007,01,30,07,38219,24569,22507,13650,8857,15712,100.0,64.28477982155472,58.88955754990973,35.71522017844528,23.174337371464453,41.11044245009027
013008,01,30,08,40100,26144,25977,13956,12021,14123,100.0,65.19700748129675,64.78054862842893,34.80299251870324,29.977556109725683,35.21945137157107
014009,01,40,09,45937,23216,31316,22721,8595,14621,100.0,50.53878137449115,68.17162635783791,49.46121862550885,18.71040773232906,31.828373642162088
014010,01,40,10,56377,36170,32673,20207,12466,23704,100.0,64.15736913989748,57.954484985011625,35.842630860102524,22.111854124909094,42.04551501498838
021001,02,10,01,40641,28193,25944,12448,13496,14697,100.0,69.37083241061983,63.83701188455009,30.629167589380184,33.207844295169906,36.16298811544992
022002,02,20,02,64929,29241,47281,35688,11593,17648,100.0,45.035346301344546,72.81954134516164,54.964653698655454,17.854887646506185,27.180458654838365
