id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01100101,01,10,01,01,100.0,592.0,49.0,69.0,82.0,37.0,68.0,112.00000000000001,32.0,16.0,18.0,28.000000000000004,70.0,12.0,27.0,471.0,152.0,177.0,16.0,476.99999999999994,120.0,55.00000000000001,209.0,9.0,50.0,16.0,55.00000000000001,89.0
01100102,01,10,01,02,100.0,337.0,22.0,14.000000000000002,46.0,33.0,21.0,54.0,27.0,22.0,9.0,44.0,42.0,4.0,17.0,351.0,176.0,114.99999999999999,9.0,345.0,73.0,31.0,199.0,3.0,18.0,3.0,59.0,39.0
01100103,01,10,01,03,100.0,986.0,147.0,45.0,101.0,34.0,56.99999999999999,193.0,71.0,135.0,42.0,77.0,160.0,33.0,61.0,558.0,229.0,184.0,45.0,965.0,326.0,87.0,380.0,60.0,89.0,37.0,107.0,133.0
01100104,01,10,01,04,100.0,663.0,78.0,23.0,92.0,43.0,46.0,102.0,54.0,27.0,30.0,63.0,106.0,39.0,15.0,450.0,167.0,170.0,13.0,1328.0,413.0,75.0,630.0,150.0,141.0,21.0,72.0,222.00000000000003
01100205,01,10,02,05,100.0,476.99999999999994,34.0,16.0,49.0,16.0,42.0,45.0,115.99999999999999,18.0,9.0,40.0,43.0,9.0,13.0,492.0,250.99999999999997,141.0,11.0,405.99999999999994,72.0,36.0,242.0,25.0,34.0,41.0,63.0,51.0
01100206,01,10,02,06,100.0,274.0,34.0,14.000000000000002,37.0,21.0,32.0,27.0,28.000000000000004,15.0,3.0,34.0,18.0,3.0,12.0,385.0,206.99999999999997,103.0,20.0,156.0,53.0,13.0,45.0,6.0,3.0,15.0,59.0,21.0
01100207,01,10,02,07,100.0,1254.0,103.0,43.0,145.0,80.0,84.0,181.0,202.99999999999997,65.0,27.0,77.0,169.0,46.0,53.0,1218.0,610.0,308.0,53.0,1088.0,225.0,67.0,560.0,57.99999999999999,197.0,176.0,142.0,158.0
01100308,01,10,03,08,100.0,1258.0,140.0,51.0,145.0,111.00000000000001,114.99999999999999,168.0,53.0,89.0,27.0,142.0,107.0,15.0,28.000000000000004,610.0,247.00000000000003,211.0,30.0,563.0,156.0,62.0,210.0,6.0,31.0,41.0,200.0,59.0
01100309,01,10,03,09,100.0,1852.0,268.0,66.0,324.0,139.0,174.0,216.0,113.99999999999999,59.0,44.0,266.0,176.0,12.0,60.0,716.0,309.0,225.99999999999997,28.000000000000004,840.0,213.0,83.0,356.0,21.0,124.0,119.0,400.0,86.0
01100310,01,10,03,10,100.0,1478.0,158.0,74.0,220.00000000000003,80.0,149.0,199.0,118.0,73.0,28.000000000000004,163.0,150.0,22.0,49.0,756.0,296.0,258.0,35.0,1138.0,214.0,75.0,614.0,32.0,227.99999999999997,372.0,213.0,136.0
