id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
011001,01,10,01,100.0,658.0,877.9999999999999,249.00000000000003,1436.0,4273.0,1248.0,942.0,949.0,5102.0,6970.0
011002,01,10,02,100.0,598.0,683.0,193.0,881.0,3535.0,900.0,595.0,617.0,3951.0,5576.0
011003,01,10,03,100.0,2319.0,2652.0,715.0,3953.0,13913.0,3406.0,1957.9999999999998,1430.0,14897.0,20798.0
011004,01,10,04,100.0,1280.0,1519.0,400.0,1488.0,7734.0,1829.0,735.0,473.00000000000006,7790.000000000001,10827.0
012005,01,20,05,100.0,1603.0,2239.0,746.0,3465.9999999999995,9540.0,3048.0,2269.0,2121.0,11655.0,16611.0
012006,01,20,06,100.0,1745.0,2227.0,710.0,3034.0,9972.0,2770.0,1905.9999999999998,1859.0,11702.0,15305.000000000002
013007,01,30,07,100.0,1937.0,3135.0,1066.0,3260.0,8575.0,3265.9999999999995,2217.0,1800.0,11976.0,16429.0
013008,01,30,08,100.0,2076.0,3420.0000000000005,1144.0,3427.0000000000005,8523.0,3413.0000000000005,2418.0,2152.0,13007.0,14683.000000000002
014009,01,40,09,100.0,1896.0,2329.0,740.0,2988.0,9170.0,2972.0,2244.0,1898.0,11576.0,15438.0
014010,01,40,10,100.0,2396.0,3603.0,1270.0,5400.0,13349.0,4682.0,3565.0,2811.0,17250.0,24661.0
021001,02,10,01,100.0,2049.0,3378.0,1298.0,3176.0,9388.0,4183.0,3079.0,2477.0,14361.000000000002,15653.0
022002,02,20,02,100.0,2020.0,2616.0,877.0,3068.0,11934.0,4021.0,2691.0,2315.0,14482.0,17806.0
023003,02,30,03,100.0,589.0,966.0,401.0,1100.0,3904.0,1864.9999999999998,1268.0,1225.0,5445.0,6753.0
023004,02,30,04,100.0,756.0,1093.0,392.0,1402.0,5821.0,2079.0,1218.0,1194.0,6679.000000000001,8822.0
024005,02,40,05,100.0,925.0,975.0,281.0,918.0,4562.0,947.0000000000001,525.0,423.00000000000006,4812.0,6047.0
024006,02,40,06,100.0,1007.0,988.0000000000001,275.0,2138.0,5820.0,1079.0,626.0,532.0,5911.0,8738.0
025007,02,50,07,100.0,936.0,964.0,215.0,1235.0,6870.0,1152.0,505.0,307.0,6009.0,8446.0
025008,02,50,08,100.0,1869.0000000000002,1650.0,379.0,2608.0,13431.0,2020.0,880.0000000000001,474.0,11158.0,16464.0
031001,03,10,01,100.0,553.0,617.0,150.0,681.0,1705.9999999999998,466.0,286.0,250.99999999999997,2097.0,3659.0000000000005
032002,03,20,02,100.0,647.0,931.0,215.0,994.0,2210.0,692.0,398.0,334.0,3177.0,4208.0
032003,03,20,03,100.0,379.0,484.99999999999994,169.0,254.0,1087.0,425.0,252.99999999999997,276.0,1720.0,1696.0
033004,03,30,04,100.0,512.0,681.0,152.0,428.0,1174.0,430.0,238.0,274.0,1967.0000000000002,2425.0
033005,03,30,05,100.0,433.0,515.0,143.0,404.0,1321.0,272.0,166.0,132.0,1623.9999999999998,2397.0
034006,03,40,06,100.0,436.00000000000006,595.0,188.0,430.99999999999994,1314.0,560.0,348.0,314.0,2115.0,2101.0
034007,03,40,07,100.0,977.0,1126.0,287.0,846.0000000000001,3413.0000000000005,868.0,400.0,380.0,4288.0,4978.0
034008,03,40,08,100.0,923.0,944.0,242.0,1102.0,4273.0,823.0,428.0,399.0,4570.0,6236.0
035009,03,50,09,100.0,1207.0,1290.0,361.0,1182.0,5131.0,1107.0,573.0,401.99999999999994,5542.0,7933.0
035010,03,50,10,100.0,349.0,417.0,95.0,423.00000000000006,1311.0,330.0,206.99999999999997,187.0,1585.0,2369.0
036011,03,60,11,100.0,796.0,926.0,254.99999999999997,1087.0,5363.0,1155.0,509.0,279.0,5135.0,7230.0
036012,03,60,12,100.0,703.0,757.0,179.0,873.0,4665.0,916.0,437.0,288.0,4508.0,5954.0
036013,03,60,13,100.0,622.0,827.9999999999999,238.0,808.0,3970.0000000000005,1161.0,451.0,227.0,4228.0,5521.0
036014,03,60,14,100.0,1019.9999999999999,1136.0,326.0,1338.0,4453.0,877.9999999999999,516.0,469.00000000000006,4953.0,7364.0
037015,03,70,15,100.0,968.0,1062.0,321.0,1111.0,5110.0,1443.0,637.0,292.0,5538.0,7438.0
037016,03,70,16,100.0,914.0,1223.0,333.0,1102.0,5468.0,1441.0,619.0,418.0,5897.0,7550.0
041001,04,10,01,100.0,847.0000000000001,1295.0,421.0,1073.0,3372.0,1555.0,1120.0,1033.0,5276.0,6120.0
042002,04,20,02,100.0,252.99999999999997,581.0,196.0,743.0,1292.0,537.0,401.0,426.99999999999994,2253.0,2828.0
042003,04,20,03,100.0,698.0,1068.0,345.0,1319.0,3374.0,1371.0,1015.0,1059.0,5194.0,5993.0
043004,04,30,04,100.0,1382.0,1752.0,540.0,2077.0,6790.000000000001,2453.0,1901.0000000000002,2258.0,9860.0,11321.0
043005,04,30,05,100.0,497.0,676.0,215.0,796.0,2756.0,998.0,747.0,759.0,3686.0,4464.0
043006,04,30,06,100.0,1792.0000000000002,2131.0,728.0,3045.0,9416.0,3485.0,2621.0,2931.0,13268.0,15858.000000000002
044007,04,40,07,100.0,667.0,1077.0,282.0,768.0,2414.0,1352.0,919.9999999999999,994.9999999999999,4457.0,4662.0
044008,04,40,08,100.0,994.9999999999999,1452.0,442.0,1058.0,3801.0,1688.0,1227.0,1363.0,6250.0,6669.0
045009,04,50,09,100.0,931.0,1297.0,369.0,1374.0,4484.0,1800.0,1453.0,1471.0,6805.0,7695.999999999999
045010,04,50,10,100.0,1262.0,1882.0,617.0,1887.0,6317.0,2701.0,2240.0,2652.0,10227.0,11823.0
045011,04,50,11,100.0,1500.0,2220.0,773.0,2301.0,7200.0,2889.0,2023.0,2308.0,10633.0,12513.0
051001,05,10,01,100.0,1173.0,1384.0,382.0,1011.0,3432.0,1216.0,799.0,771.0,5082.0,5838.0
051002,05,10,02,100.0,1776.0000000000002,2837.0,935.0,1896.0,5879.0,2658.0,1948.0,2007.9999999999998,9933.0,11133.0
051003,05,10,03,100.0,1832.9999999999998,2686.0,841.0,2387.0,6728.0,2685.0,1902.0,1539.0,9977.0,13832.0
052004,05,20,04,100.0,713.0,1071.0,365.0,698.0,2218.0,1016.0,773.0,652.0,3774.0,4132.0
052005,05,20,05,100.0,1485.0,2521.0,784.0,1504.0,4341.0,1993.0,1488.0,1230.0,7626.000000000001,9088.0
052006,05,20,06,100.0,1263.0,1835.0000000000002,572.0,1775.0,5015.0,1907.0,1411.0,1209.0,7163.0,9642.0
053007,05,30,07,100.0,1071.0,1337.0,407.0,959.0,3402.0000000000005,1389.0,1038.0,875.0,5347.0,5178.0
053008,05,30,08,100.0,509.99999999999994,791.0,219.0,714.0,2174.0,882.0,633.0,639.0,3149.0,3940.0
054009,05,40,09,100.0,322.0,734.0,243.00000000000003,306.0,835.0,643.0,438.99999999999994,514.0,2127.0,1636.0
061001,06,10,01,100.0,541.0,926.0,296.0,785.0,2516.0,1111.0,794.0,827.0,4096.0,4329.0
061002,06,10,02,100.0,1530.0,2098.0,594.0,1963.0,6604.000000000001,2671.0,2036.0,2058.0,10123.0,10811.0
062003,06,20,03,100.0,1234.0,1760.0000000000002,490.00000000000006,1607.9999999999998,4672.0,1969.0000000000002,1378.0,1498.0,7350.0,7966.0
062004,06,20,04,100.0,927.0,1533.0,497.0,1229.0,3343.0,1549.0,1195.0,1266.0,5914.0,6463.0
063005,06,30,05,100.0,727.0,1325.0,455.0,1030.0,2752.0,1360.0,977.0,1075.0,5029.0,5300.0
063006,06,30,06,100.0,1241.0,2080.0,723.0,1894.0000000000002,4603.0,2079.0,1568.0,1398.0,7927.0,8737.0
064007,06,40,07,100.0,471.0,947.0000000000001,300.0,1315.0,1960.0000000000002,939.0,730.0,807.0,3743.0,4623.0
064008,06,40,08,100.0,867.0,1752.0,568.0,1212.0,3061.0,1717.0000000000002,1347.0,1322.0,6420.999999999999,6103.0
071001,07,10,01,100.0,889.0,1321.0,470.0,1505.0,4696.0,2101.0,1687.0,1819.0000000000002,6978.0,8762.0
071002,07,10,02,100.0,779.0,1100.0,400.0,1196.0,4119.0,1679.0,1322.0,1484.0,6042.0,7167.0
