id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0110,01,10,124312,6662,8599,2548,12972,46887,16561,13872,16211,60847,44731,100.0,5.3590964669541155,6.917272668768904,2.049681446682541,10.435034429499968,37.71719544372225,13.322124975867172,11.159019241907458,13.040575326597592,48.947004311731774,35.982849604221634
0120,01,20,90064,4665,6012,1900,11607,33729,9937,10319,11895,43062,31988,100.0,5.179650026647717,6.6752531533132,2.109610943329188,12.8875022206431,37.45003553028957,11.033265233611655,11.457408065375734,13.207274826789838,47.81266654823237,35.516965713270565
0130,01,30,79249,4736,7560,2501,11170,26344,9493,8298,9147,38441,31265,100.0,5.976100644803089,9.539552549558985,3.155875783921563,14.094815076530933,33.24205983671718,11.978700046688285,10.47079458415879,11.542101477621168,48.5066057615869,39.45160191295789
0140,01,40,103509,5499,7279,2429,13735,37785,11526,11669,13587,50014,40425,100.0,5.3125815146509,7.032238742524805,2.346655846351525,13.269377542049485,36.50407210967162,11.135263600266644,11.27341583823629,13.126394806248731,48.31850370499184,39.05457496449584
0210,02,10,41327,2271,3755,1432,5253,13106,5444,4921,5145,20459,15623,100.0,5.495196844677813,9.086069639702858,3.465047063662981,12.710818593171535,31.712923754446248,13.172986183366806,11.907469692936822,12.44948822803494,49.505166114162655,37.80337309749074
0220,02,20,64784,3410,4724,1487,6299,22877,8977,8956,8054,32116,17824,100.0,5.263645344529514,7.29192393183502,2.2953198320572983,9.723079772783404,35.31273153865152,13.856816497900718,13.82440108668807,12.432081995554457,49.57396888120524,27.512966164485057
0230,02,30,46105,2072,3226,1073,4580,16659,7193,6044,5258,22114,15478,100.0,4.494089578136862,6.9970719010953255,2.3272963886780174,9.933846654375882,36.13274048367856,15.601344756533999,13.109207244333588,11.40440299316777,47.96442902071359,33.571196182626615
0240,02,40,52765,2910,3601,1018,5523,20507,6040,5226,7940,26187,15234,100.0,5.5150194257557095,6.824599639912821,1.9293092011750212,10.467165734862125,38.86477778830664,11.446981900881266,9.90429261821283,15.047853690893584,49.62948924476452,28.871410973182982
0250,02,50,88473,5179,6250,1562,8374,43121,12100,6946,4941,42381,25366,100.0,5.853763295016559,7.064302103466594,1.7655103816983713,9.465034530308682,48.739163360573286,13.676488872311326,7.850982785708633,5.584754670916551,47.90274999152284,28.670893945045385
0310,03,10,17731,1173,1686,461,1730,4715,1966,2104,3896,8856,3751,100.0,6.615532118887824,9.508769950933393,2.5999661609610287,9.756922903389544,26.591844791607915,11.087925102927077,11.866222999266821,21.972815972026392,49.946421521628785,21.155039196886808
0320,03,20,48670,2693,4971,1510,4304,11340,7027,7798,9027,24908,6181,100.0,5.533182658722005,10.213683994246969,3.1025272241627286,8.843229915759194,23.299773988083007,14.438052188206289,16.022190260941034,18.547359769878778,51.17731662214917,12.699815081158825
