district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,1,11,1,3126,100.0,1700.0,54.382597568778,1962.0,62.763915547025,1426.0,45.617402431222,536.0,17.1465131158029,1164.0,37.2360844529751
1,1,11,2,199,100.0,66.0,33.1658291457286,142.0,71.356783919598,133.0,66.8341708542714,9.0,4.52261306532663,57.0,28.643216080402
1,1,11,3,5157,100.0,2838.0,55.0319953461315,3366.0,65.2705061082024,2319.0,44.9680046538685,1047.0,20.3025014543339,1791.0,34.7294938917976
1,1,11,4,4442,100.0,2793.0,62.8770823953174,2841.0,63.9576767221972,1649.0,37.1229176046826,1192.0,26.8347591175146,1601.0,36.0423232778028
1,1,11,5,1118,100.0,616.0,55.0983899821109,668.0,59.7495527728086,502.0,44.9016100178891,166.0,14.8479427549195,450.0,40.2504472271914
1,1,12,1,2062,100.0,1014.0,49.1755577109602,1416.0,68.6711930164888,1048.0,50.8244422890398,368.0,17.8467507274491,646.0,31.3288069835112
1,1,12,2,499,100.0,202.0,40.4809619238477,350.0,70.1402805611223,297.0,59.5190380761523,53.0,10.6212424849699,149.0,29.8597194388778
1,1,12,3,946,100.0,466.0,49.2600422832981,597.0,63.107822410148,480.0,50.7399577167019,117.0,12.3678646934461,349.0,36.892177589852
1,1,12,4,6627,100.0,2631.0,39.7012222725215,4919.0,74.2266485589256,3996.0,60.2987777274785,923.0,13.9278708314471,1708.0,25.7733514410744
1,1,13,1,5877,100.0,2142.0,36.4471669218989,4358.0,74.1534796664965,3735.0,63.5528330781011,623.0,10.6006465883954,1519.0,25.8465203335035
1,1,13,2,12316,100.0,4390.0,35.6446898343618,9272.0,75.284183176356,7926.0,64.3553101656382,1346.0,10.9288730107178,3044.0,24.715816823644
1,1,13,3,8602,100.0,3213.0,37.3517786561265,6339.0,73.6921646128807,5389.0,62.6482213438735,950.0,11.0439432690072,2263.0,26.3078353871193
1,1,13,4,8454,100.0,2663.0,31.4998817127987,6811.0,80.5654128223326,5791.0,68.5001182872013,1020.0,12.0652945351313,1643.0,19.4345871776674
1,1,13,5,7217,100.0,2195.0,30.4142995704586,5811.0,80.5182208673964,5022.0,69.5857004295414,789.0,10.9325204378551,1406.0,19.4817791326036
1,1,13,6,8797,100.0,3061.0,34.795953165852,6823.0,77.5605319995453,5736.0,65.204046834148,1087.0,12.3564851653973,1974.0,22.4394680004547
1,1,14,1,15467,100.0,5611.0,36.2772354044094,11421.0,73.8410810111851,9856.0,63.7227645955906,1565.0,10.1183164155945,4046.0,26.1589189888149
1,1,14,2,12893,100.0,4262.0,33.0566974327154,9953.0,77.1969285658885,8631.0,66.9433025672846,1322.0,10.2536259986039,2940.0,22.8030714341115
