id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3269,1955,1931,1314,617,1338,3269,153,127,32,502,999,348,389,719,1584,1338,1955,137,107,23,389,742,169,184,204,932,1338,1955,569,54,62,66,16,84,27,93,32,19,16,76,14,22,314,108,78,27,467,84,39,267,9,63,15,47,56
01011102,185,71,124,114,10,61,185,4,9,3,15,51,36,40,27,71,61,71,4,6,0,9,36,13,3,0,24,61,71,37,3,3,3,4,4,3,11,0,3,0,3,0,3,6,3,0,0,4,0,0,4,0,4,0,9,0
01011103,5073,2901,3286,2172,1114,1787,5073,254,329,122,578,1430,682,770,908,2336,1787,2901,199,274,98,379,931,360,342,318,1365,1787,2901,958,159,33,87,16,45,31,203,82,125,35,160,16,75,421,165,96,39,930,331,76,367,34,99,42,53,106
01011104,4781,3124,2872,1657,1215,1909,4781,277,396,135,912,1661,629,426,345,2160,1909,3124,192,344,111,663,1090,358,208,158,1442,1909,3124,728,116,36,74,28,49,34,123,51,30,23,127,60,15,257,105,62,7,1388,437,61,702,230,102,28,60,160
01011105,1322,829,717,493,224,605,1322,83,64,13,103,455,199,185,220,602,605,829,71,55,6,73,341,121,86,76,393,605,829,219,15,12,33,18,21,9,43,4,9,3,14,0,7,231,125,28,12,285,33,12,180,12,9,0,43,16
01011201,2387,1413,1423,974,449,964,2387,106,149,61,279,708,326,354,404,1113,964,1413,90,122,43,214,524,154,140,126,632,964,1413,407,26,12,30,15,33,16,32,104,53,6,41,6,18,325,147,89,22,307,48,21,197,22,9,44,41,42
01011202,635,306,397,329,68,238,635,30,39,9,43,240,89,93,92,274,238,306,17,33,6,24,156,30,19,21,141,238,306,138,16,3,15,18,15,9,10,0,16,0,6,3,3,50,27,8,0,29,12,0,8,0,0,0,19,0
01011203,1086,578,682,508,174,404,1086,57,51,24,101,343,200,131,179,512,404,578,45,42,18,60,226,88,52,47,278,404,578,179,9,12,16,15,13,20,21,13,6,3,13,0,6,207,131,19,3,58,18,10,12,0,0,22,24,12
01011204,8117,3967,5490,4150,1340,2627,8117,432,401,104,769,2771,1057,973,1610,3994,2627,3967,326,332,75,492,1657,458,339,288,1987,2627,3967,1324,100,56,99,56,88,88,199,247,46,31,131,18,43,805,442,120,39,811,157,24,470,37,156,165,120,126
01011301,6841,2929,4764,3912,852,2077,6841,453,390,84,639,2991,1043,605,636,3314,2077,2929,249,185,38,331,1483,354,147,142,1440,2077,2929,1311,128,34,124,109,126,118,165,56,66,18,94,18,22,384,173,67,28,378,104,46,137,3,51,22,172,52
