id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,3445,100.0,2075.0,60.2,2040.0,59.2,1370.0,39.8,670.0,19.4,1405.0,40.8,3445,164.0,140.0,37.0,490.0,1160.0,337.0,398.0,719.0,1645.0,1405.0,2075,152.0,116.0,34.0,377.0,839.0,185.0,183.0,189.0,988.0,1405.0,2075,609.0,48.0,61.0,74.0,24.0,72.0,35.0,108.0,23.0,19.0,31.0,69.0,9.0,11,370.0,130.0,80.0,27.0,479.0,91.0,48.0,256.0,21.0,48.0,19.0,50.0,88.0
01011102,188,100.0,71.0,37.8,135.0,71.8,117.0,62.2,18.0,9.6,53.0,28.2,188,6.0,6.0,3.0,13.0,63.0,25.0,39.0,33.0,74.0,53.0,71,3.0,3.0,3.0,6.0,44.0,9.0,0.0,3.0,25.0,53.0,71,39.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,3.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,3.0,0.0,7.0,3.0
01011103,5159,100.0,2979.0,57.7,3349.0,64.9,2180.0,42.3,1169.0,22.7,1810.0,35.1,5159,255.0,324.0,107.0,597.0,1518.0,646.0,757.0,955.0,2389.0,1810.0,2979,206.0,261.0,92.0,380.0,986.0,373.0,320.0,361.0,1411.0,1810.0,2979,972.0,143.0,34.0,93.0,38.0,53.0,40.0,181.0,87.0,110.0,30.0,135.0,15.0,66,415.0,179.0,88.0,38.0,907.0,326.0,72.0,358.0,45.0,99.0,34.0,53.0,138.0
01011104,4626,100.0,3005.0,65.0,2816.0,60.9,1621.0,35.0,1195.0,25.8,1810.0,39.1,4626,250.0,384.0,121.0,802.0,1635.0,613.0,465.0,356.0,2059.0,1810.0,3005,176.0,324.0,96.0,556.0,1075.0,348.0,251.0,179.0,1359.0,1810.0,3005,682.0,98.0,32.0,74.0,30.0,47.0,49.0,115.0,55.0,27.0,18.0,115.0,51.0,22,263.0,107.0,74.0,6.0,1301.0,400.0,63.0,665.0,203.0,121.0,22.0,48.0,179.0
01011105,1567,100.0,1047.0,66.8,778.0,49.6,520.0,33.2,258.0,16.5,789.0,50.4,1567,83.0,86.0,30.0,150.0,552.0,275.0,180.0,211.0,714.0,789.0,1047,66.0,76.0,21.0,120.0,421.0,195.0,83.0,65.0,499.0,789.0,1047,280.0,22.0,9.0,41.0,15.0,26.0,16.0,58.0,12.0,4.0,3.0,9.0,0.0,3,239.0,130.0,49.0,17.0,332.0,47.0,16.0,228.0,4.0,11.0,3.0,30.0,24.0
01011201,2456,100.0,1494.0,60.8,1420.0,57.8,962.0,39.2,458.0,18.6,1036.0,42.2,2456,125.0,160.0,49.0,332.0,686.0,314.0,351.0,439.0,1164.0,1036.0,1494,98.0,144.0,39.0,259.0,504.0,177.0,118.0,155.0,693.0,1036.0,1494,378.0,24.0,18.0,43.0,10.0,19.0,21.0,33.0,98.0,30.0,0.0,25.0,6.0,12,337.0,161.0,86.0,6.0,316.0,50.0,25.0,202.0,21.0,20.0,47.0,46.0,67.0
01011202,654,100.0,315.0,48.2,422.0,64.5,339.0,51.8,83.0,12.7,232.0,35.5,654,32.0,31.0,18.0,49.0,209.0,109.0,105.0,101.0,312.0,232.0,315,22.0,28.0,15.0,27.0,109.0,47.0,46.0,21.0,163.0,232.0,315,156.0,19.0,3.0,25.0,15.0,4.0,12.0,7.0,3.0,29.0,0.0,3.0,0.0,3,56.0,24.0,15.0,4.0,19.0,3.0,0.0,9.0,3.0,0.0,0.0,33.0,0.0
01011203,1171,100.0,637.0,54.4,738.0,63.0,534.0,45.6,204.0,17.4,433.0,37.0,1171,64.0,58.0,9.0,107.0,426.0,184.0,140.0,183.0,540.0,433.0,637,52.0,46.0,6.0,59.0,299.0,86.0,48.0,41.0,301.0,433.0,637,182.0,12.0,20.0,22.0,6.0,6.0,27.0,19.0,15.0,6.0,6.0,18.0,3.0,9,228.0,148.0,12.0,6.0,91.0,44.0,6.0,26.0,7.0,0.0,19.0,30.0,7.0
01011204,8461,100.0,4341.0,51.3,5537.0,65.4,4120.0,48.7,1417.0,16.7,2924.0,34.6,8461,512.0,404.0,118.0,786.0,2944.0,1070.0,1007.0,1620.0,4127.0,2924.0,4341,394.0,341.0,89.0,505.0,1824.0,509.0,362.0,317.0,2167.0,2924.0,4341,1307.0,103.0,41.0,117.0,66.0,91.0,71.0,181.0,217.0,53.0,37.0,129.0,9.0,43,920.0,476.0,171.0,34.0,965.0,189.0,55.0,535.0,43.0,178.0,164.0,128.0,146.0
01011301,6910,100.0,3009.0,43.5,4778.0,69.1,3901.0,56.5,877.0,12.7,2132.0,30.9,6910,455.0,399.0,92.0,673.0,2986.0,1015.0,625.0,665.0,3325.0,2132.0,3009,257.0,193.0,55.0,350.0,1529.0,337.0,157.0,131.0,1457.0,2132.0,3009,1255.0,115.0,30.0,117.0,112.0,109.0,119.0,154.0,47.0,81.0,32.0,90.0,15.0,28,432.0,193.0,64.0,32.0,464.0,107.0,48.0,166.0,6.0,47.0,34.0,186.0,43.0
