district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
1,1,11,1,3445,164.0,140.0,37.0,490.0,1160.0,337.0,398.0,719.0,1645.0,1405.0
1,1,11,2,188,6.0,6.0,3.0,13.0,63.0,25.0,39.0,33.0,74.0,53.0
1,1,11,3,5159,255.0,324.0,107.0,597.0,1518.0,646.0,757.0,955.0,2389.0,1810.0
1,1,11,4,4626,250.0,384.0,121.0,802.0,1635.0,613.0,465.0,356.0,2059.0,1810.0
1,1,11,5,1567,83.0,86.0,30.0,150.0,552.0,275.0,180.0,211.0,714.0,789.0
1,1,12,1,2456,125.0,160.0,49.0,332.0,686.0,314.0,351.0,439.0,1164.0,1036.0
1,1,12,2,654,32.0,31.0,18.0,49.0,209.0,109.0,105.0,101.0,312.0,232.0
1,1,12,3,1171,64.0,58.0,9.0,107.0,426.0,184.0,140.0,183.0,540.0,433.0
1,1,12,4,8461,512.0,404.0,118.0,786.0,2944.0,1070.0,1007.0,1620.0,4127.0,2924.0
1,1,13,1,6910,455.0,399.0,92.0,673.0,2986.0,1015.0,625.0,665.0,3325.0,2132.0
1,1,13,2,12540,709.0,1012.0,314.0,1025.0,4844.0,2254.0,1353.0,1029.0,6056.0,3400.0
1,1,13,3,10011,489.0,508.0,101.0,1209.0,3947.0,1222.0,1027.0,1508.0,4725.0,3482.0
1,1,13,4,8813,472.0,563.0,170.0,864.0,2401.0,900.0,933.0,2510.0,4649.0,2427.0
1,1,13,5,8778,485.0,412.0,125.0,768.0,3049.0,1063.0,934.0,1942.0,4289.0,2470.0
1,1,13,6,10831,631.0,550.0,111.0,1634.0,3768.0,1330.0,1207.0,1600.0,5316.0,3351.0
1,1,14,1,18200,1269.0,1441.0,347.0,1741.0,8008.0,2929.0,1468.0,997.0,8920.0,5776.0
1,1,14,2,13640,999.0,1109.0,236.0,1045.0,6070.0,2346.0,976.0,859.0,6794.0,3758.0
1,2,21,1,3524,206.0,217.0,49.0,554.0,1410.0,403.0,397.0,288.0,1602.0,1303.0
1,2,21,2,6809,361.0,418.0,144.0,1248.0,2534.0,815.0,664.0,625.0,3132.0,2943.0
1,2,21,3,295,28.0,49.0,15.0,27.0,91.0,32.0,28.0,25.0,138.0,189.0
1,2,21,4,18823,995.0,1143.0,341.0,2695.0,7034.0,2270.0,2137.0,2208.0,8921.0,6246.0
1,2,21,5,5365,308.0,396.0,115.0,875.0,1929.0,638.0,559.0,545.0,2498.0,1983.0
1,2,21,6,11459,571.0,689.0,245.0,1250.0,3468.0,1549.0,1687.0,2000.0,5797.0,2382.0
1,2,22,1,11048,666.0,716.0,196.0,1670.0,4475.0,1301.0,1057.0,967.0,5201.0,3480.0
1,2,22,2,3580,294.0,217.0,59.0,552.0,1633.0,342.0,239.0,244.0,1681.0,1390.0
1,2,22,3,7150,484.0,651.0,178.0,954.0,2303.0,835.0,708.0,1037.0,3483.0,2460.0
1,2,22,4,6081,343.0,352.0,105.0,657.0,2014.0,849.0,755.0,1006.0,2951.0,1638.0
1,2,22,5,3316,265.0,340.0,115.0,379.0,871.0,386.0,401.0,559.0,1636.0,1090.0
1,2,22,6,3045,130.0,209.0,64.0,284.0,1050.0,455.0,372.0,481.0,1442.0,711.0
1,2,22,7,5822,193.0,243.0,89.0,1061.0,1635.0,654.0,678.0,1269.0,2839.0,2032.0
1,3,31,1,26956,1947.0,2563.0,775.0,3919.0,9237.0,3237.0,2558.0,2720.0,12748.0,11335.0
1,3,31,2,11853,764.0,1011.0,318.0,1833.0,4115.0,1529.0,1076.0,1207.0,5686.0,4570.0
1,3,32,1,14303,1180.0,1606.0,493.0,1749.0,4487.0,1657.0,1426.0,1705.0,7131.0,4462.0
1,3,32,2,10509,698.0,935.0,266.0,1397.0,3029.0,1201.0,1179.0,1804.0,5318.0,3190.0
1,3,32,3,14657,947.0,1269.0,447.0,2355.0,5121.0,1729.0,1317.0,1472.0,6806.0,5937.0
1,4,41,1,20929,1144.0,1371.0,412.0,2747.0,7045.0,2611.0,2513.0,3086.0,10093.0,6668.0
1,4,41,2,16616,970.0,1071.0,307.0,1717.0,4822.0,1942.0,2075.0,3712.0,8571.0,4162.0
1,4,41,3,8809,466.0,512.0,173.0,1380.0,3448.0,1088.0,962.0,780.0,4213.0,3317.0
1,4,42,1,24103,1521.0,2148.0,667.0,3678.0,8499.0,2972.0,2215.0,2403.0,11340.0,10560.0
1,4,42,2,17188,951.0,1043.0,331.0,3156.0,7112.0,1845.0,1528.0,1222.0,7919.0,7126.0
1,4,42,3,16058,879.0,1151.0,373.0,2121.0,5769.0,1941.0,1688.0,2136.0,7578.0,6353.0
2,1,1,1,6482,377.0,537.0,165.0,937.0,2340.0,846.0,650.0,630.0,2979.0,2680.0
2,1,1,2,13770,905.0,1403.0,470.0,1863.0,4159.0,1777.0,1441.0,1752.0,6873.0,4658.0
2,1,1,3,15183,988.0,1493.0,510.0,1924.0,4445.0,2185.0,1676.0,1962.0,7491.0,5437.0
2,1,1,4,5095,295.0,542.0,168.0,600.0,1493.0,702.0,640.0,655.0,2529.0,1623.0
2,2,2,1,1860,192.0,170.0,22.0,126.0,711.0,193.0,193.0,253.0,938.0,413.0
2,2,2,2,6037,371.0,491.0,165.0,691.0,2032.0,871.0,748.0,668.0,2934.0,1711.0
2,2,2,3,10965,736.0,751.0,180.0,1043.0,4122.0,1566.0,1382.0,1185.0,5365.0,2719.0
2,2,2,4,12657,769.0,812.0,266.0,1271.0,4820.0,1788.0,1630.0,1301.0,6123.0,3506.0
2,2,2,5,15140,824.0,951.0,318.0,1757.0,5160.0,2326.0,2141.0,1663.0,7541.0,3936.0
2,2,2,6,18988,1255.0,1420.0,426.0,1789.0,7193.0,2688.0,2266.0,1951.0,9442.0,5345.0
2,3,3,1,8893,402.0,668.0,265.0,976.0,3010.0,1424.0,1111.0,1037.0,4259.0,3355.0
2,3,3,2,13096,729.0,980.0,304.0,1437.0,4671.0,1945.0,1611.0,1419.0,6316.0,4290.0
2,3,4,1,15168,849.0,1037.0,313.0,1429.0,6152.0,2284.0,1711.0,1393.0,7302.0,4807.0
2,3,4,2,11017,642.0,690.0,207.0,1130.0,4559.0,1591.0,1249.0,949.0,5243.0,3680.0
2,4,5,1,5427,250.0,392.0,100.0,435.0,1202.0,626.0,705.0,1717.0,2863.0,883.0
2,4,5,2,7558,491.0,429.0,121.0,715.0,2913.0,849.0,733.0,1307.0,3834.0,1576.0
2,4,5,3,11351,842.0,682.0,134.0,976.0,5050.0,1414.0,935.0,1318.0,5649.0,2152.0
2,4,7,1,13406,821.0,775.0,225.0,1683.0,4654.0,1352.0,1292.0,2604.0,6770.0,3941.0
2,4,7,2,11314,585.0,699.0,156.0,1359.0,4819.0,1474.0,985.0,1237.0,5428.0,2540.0
2,4,7,3,1160,96.0,99.0,25.0,195.0,571.0,69.0,61.0,44.0,514.0,706.0
2,5,6,1,9268,633.0,512.0,90.0,961.0,4903.0,1029.0,653.0,487.0,4355.0,2211.0
2,5,6,2,21899,1557.0,1480.0,347.0,1970.0,11158.0,2851.0,1428.0,1108.0,10553.0,5038.0
2,5,8,1,20636,1385.0,1288.0,300.0,2243.0,10896.0,2369.0,1232.0,923.0,9842.0,5574.0
2,5,8,2,21625,1429.0,1235.0,253.0,2278.0,11685.0,2747.0,1235.0,763.0,10236.0,5526.0
2,5,8,3,7719,540.0,384.0,93.0,889.0,4000.0,787.0,506.0,520.0,3629.0,2017.0
2,5,8,4,4672,509.0,436.0,97.0,205.0,1718.0,746.0,423.0,538.0,2315.0,505.0
3,1,1,1,4259,366.0,360.0,71.0,291.0,1358.0,583.0,541.0,689.0,2046.0,456.0
3,1,1,2,12606,910.0,1096.0,323.0,1198.0,3183.0,1288.0,1453.0,3155.0,6457.0,2187.0
3,1,1,4,229,12.0,24.0,9.0,30.0,78.0,44.0,25.0,7.0,93.0,27.0
3,2,2,3,2064,87.0,186.0,53.0,106.0,360.0,353.0,373.0,546.0,1017.0,62.0
3,2,2,9,15170,954.0,1498.0,444.0,1309.0,3685.0,2577.0,2064.0,2639.0,7848.0,1527.0
3,2,2,10,11472,813.0,1143.0,313.0,771.0,3022.0,1907.0,1539.0,1964.0,5856.0,1024.0
3,2,3,7,18259,1239.0,1838.0,523.0,1191.0,4291.0,2982.0,2909.0,3286.0,9304.0,1048.0
3,3,4,5,11444,1045.0,1185.0,327.0,889.0,3267.0,1474.0,1385.0,1872.0,5924.0,1231.0
3,3,4,6,8235,388.0,714.0,223.0,536.0,1536.0,1361.0,1553.0,1924.0,4183.0,322.0
3,3,7,11,6875,351.0,654.0,178.0,396.0,1258.0,1149.0,1264.0,1625.0,3466.0,201.0
3,3,7,15,7869,492.0,679.0,205.0,680.0,1780.0,1264.0,1210.0,1559.0,3799.0,1179.0
3,3,7,16,1120,38.0,70.0,38.0,43.0,165.0,181.0,228.0,357.0,568.0,9.0
3,4,5,8,4551,264.0,490.0,150.0,397.0,904.0,842.0,745.0,759.0,2287.0,300.0
3,4,5,12,10354,586.0,839.0,282.0,853.0,2380.0,1683.0,1462.0,2269.0,5359.0,951.0
3,4,5,13,3424,158.0,388.0,113.0,300.0,661.0,595.0,498.0,711.0,1769.0,271.0
3,4,6,14,37024,2666.0,3758.0,927.0,2723.0,10925.0,5611.0,3951.0,6463.0,19618.0,3395.0
