district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,1,11,1,2075,152.0,116.0,34.0,377.0,839.0,185.0,183.0,189.0,988.0,1405.0
1,1,11,2,71,3.0,3.0,3.0,6.0,44.0,9.0,0.0,3.0,25.0,53.0
1,1,11,3,2979,206.0,261.0,92.0,380.0,986.0,373.0,320.0,361.0,1411.0,1810.0
1,1,11,4,3005,176.0,324.0,96.0,556.0,1075.0,348.0,251.0,179.0,1359.0,1810.0
1,1,11,5,1047,66.0,76.0,21.0,120.0,421.0,195.0,83.0,65.0,499.0,789.0
1,1,12,1,1494,98.0,144.0,39.0,259.0,504.0,177.0,118.0,155.0,693.0,1036.0
1,1,12,2,315,22.0,28.0,15.0,27.0,109.0,47.0,46.0,21.0,163.0,232.0
1,1,12,3,637,52.0,46.0,6.0,59.0,299.0,86.0,48.0,41.0,301.0,433.0
1,1,12,4,4341,394.0,341.0,89.0,505.0,1824.0,509.0,362.0,317.0,2167.0,2924.0
1,1,13,1,3009,257.0,193.0,55.0,350.0,1529.0,337.0,157.0,131.0,1457.0,2132.0
1,1,13,2,5095,415.0,501.0,139.0,485.0,2388.0,671.0,308.0,188.0,2495.0,3400.0
1,1,13,3,4811,343.0,356.0,71.0,703.0,2369.0,468.0,301.0,200.0,2271.0,3482.0
1,1,13,4,3832,362.0,415.0,131.0,540.0,1431.0,427.0,253.0,273.0,1948.0,2427.0
1,1,13,5,3700,338.0,266.0,84.0,410.0,1670.0,483.0,198.0,251.0,1705.0,2470.0
1,1,13,6,4939,375.0,335.0,66.0,1261.0,1945.0,472.0,271.0,214.0,2452.0,3351.0
1,1,14,1,8085,716.0,739.0,179.0,921.0,4141.0,911.0,289.0,189.0,4016.0,5776.0
1,1,14,2,5578,544.0,479.0,87.0,541.0,2920.0,632.0,208.0,167.0,2797.0,3758.0
1,2,21,1,1913,155.0,182.0,46.0,277.0,753.0,219.0,161.0,120.0,869.0,1303.0
1,2,21,2,4258,294.0,370.0,110.0,732.0,1523.0,558.0,346.0,325.0,1980.0,2943.0
1,2,21,3,248,25.0,42.0,9.0,27.0,84.0,20.0,25.0,16.0,114.0,189.0
