district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,1,11,1,3419,100.0,2049.0,59.9,2032.0,59.4,1370.0,40.1,662.0,19.4,1387.0,40.6
1,1,11,2,192,100.0,90.0,46.9,119.0,62.0,102.0,53.1,17.0,8.9,73.0,38.0
1,1,11,3,5211,100.0,3041.0,58.4,3358.0,64.4,2170.0,41.6,1188.0,22.8,1853.0,35.6
1,1,11,4,4636,100.0,2994.0,64.6,2849.0,61.5,1642.0,35.4,1207.0,26.0,1787.0,38.5
1,1,11,5,1599,100.0,1109.0,69.4,763.0,47.7,490.0,30.6,273.0,17.1,836.0,52.3
1,1,12,1,2573,100.0,1593.0,61.9,1439.0,55.9,980.0,38.1,459.0,17.8,1134.0,44.1
1,1,12,2,646,100.0,316.0,48.9,418.0,64.7,330.0,51.1,88.0,13.6,228.0,35.3
1,1,12,3,1157,100.0,630.0,54.5,732.0,63.3,527.0,45.5,205.0,17.7,425.0,36.7
1,1,12,4,8312,100.0,4291.0,51.6,5498.0,66.1,4021.0,48.4,1477.0,17.8,2814.0,33.9
1,1,13,1,6967,100.0,3077.0,44.2,4814.0,69.1,3890.0,55.8,924.0,13.3,2153.0,30.9
1,1,13,2,12352,100.0,5060.0,41.0,9044.0,73.2,7292.0,59.0,1752.0,14.2,3308.0,26.8
1,1,13,3,9903,100.0,4845.0,48.9,6433.0,65.0,5058.0,51.1,1375.0,13.9,3470.0,35.0
1,1,13,4,9013,100.0,4134.0,45.9,6357.0,70.5,4879.0,54.1,1478.0,16.4,2656.0,29.5
1,1,13,5,9422,100.0,4188.0,44.4,6657.0,70.7,5234.0,55.6,1423.0,15.1,2765.0,29.3
1,1,13,6,10779,100.0,4967.0,46.1,7432.0,68.9,5812.0,53.9,1620.0,15.0,3347.0,31.1
