district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,10,1,1,3419,100.0,2049.0,59.9,2032.0,59.4,1370.0,40.1,662.0,19.4,1387.0,40.6
1,10,1,2,1791,100.0,1199.0,66.9,882.0,49.2,592.0,33.1,290.0,16.2,909.0,50.8
1,10,1,3,5211,100.0,3041.0,58.4,3358.0,64.4,2170.0,41.6,1188.0,22.8,1853.0,35.6
1,10,1,4,4636,100.0,2994.0,64.6,2849.0,61.5,1642.0,35.4,1207.0,26.0,1787.0,38.5
1,10,2,5,2573,100.0,1593.0,61.9,1439.0,55.9,980.0,38.1,459.0,17.8,1134.0,44.1
1,10,2,6,1803,100.0,946.0,52.5,1150.0,63.8,857.0,47.5,293.0,16.3,653.0,36.2
1,10,2,7,8312,100.0,4291.0,51.6,5498.0,66.1,4021.0,48.4,1477.0,17.8,2814.0,33.9
1,10,3,8,6967,100.0,3077.0,44.2,4814.0,69.1,3890.0,55.8,924.0,13.3,2153.0,30.9
1,10,3,9,12352,100.0,5060.0,41.0,9044.0,73.2,7292.0,59.0,1752.0,14.2,3308.0,26.8
1,10,3,10,9903,100.0,4845.0,48.9,6433.0,65.0,5058.0,51.1,1375.0,13.9,3470.0,35.0
1,10,3,11,9013,100.0,4134.0,45.9,6357.0,70.5,4879.0,54.1,1478.0,16.4,2656.0,29.5
1,10,3,12,9422,100.0,4188.0,44.4,6657.0,70.7,5234.0,55.6,1423.0,15.1,2765.0,29.3
1,10,3,13,10779,100.0,4967.0,46.1,7432.0,68.9,5812.0,53.9,1620.0,15.0,3347.0,31.1
1,10,4,14,5178,100.0,2787.0,53.8,3102.0,59.9,2391.0,46.2,711.0,13.7,2076.0,40.1
1,10,4,15,12593,100.0,5042.0,40.0,9231.0,73.3,7551.0,60.0,1680.0,13.3,3362.0,26.7
1,10,4,16,13443,100.0,5433.0,40.4,9824.0,73.1,8010.0,59.6,1814.0,13.5,3619.0,26.9
1,20,5,17,3725,100.0,2147.0,57.6,2252.0,60.5,1578.0,42.4,674.0,18.1,1473.0,39.5
1,20,5,18,6866,100.0,4318.0,62.9,3879.0,56.5,2548.0,37.1,1331.0,19.4,2987.0,43.5
1,20,5,19,9103,100.0,4893.0,53.8,5820.0,63.9,4210.0,46.2,1610.0,17.7,3283.0,36.1
1,20,5,20,9433,100.0,4530.0,48.0,6653.0,70.5,4903.0,52.0,1750.0,18.6,2780.0,29.5
1,20,5,21,5235,100.0,3087.0,59.0,3315.0,63.3,2148.0,41.0,1167.0,22.3,1920.0,36.7
1,20,5,22,11333,100.0,4035.0,35.6,9066.0,80.0,7298.0,64.4,1768.0,15.6,2267.0,20.0
1,20,6,23,10825,100.0,5466.0,50.5,7505.0,69.3,5359.0,49.5,2146.0,19.8,3320.0,30.7
1,20,6,24,5178,100.0,3486.0,67.3,2838.0,54.8,1692.0,32.7,1146.0,22.1,2340.0,45.2
1,20,6,25,6976,100.0,4169.0,59.8,4602.0,66.0,2807.0,40.2,1795.0,25.7,2374.0,34.0
