district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
1,1,11,1,3419,156.0,143.0,28.0,442.0,1162.0,360.0,377.0,751.0,1623.0,1387.0
1,1,11,2,192,6.0,6.0,4.0,19.0,68.0,25.0,36.0,28.0,71.0,73.0
1,1,11,3,5211,264.0,306.0,102.0,604.0,1578.0,638.0,740.0,979.0,2428.0,1853.0
1,1,11,4,4636,256.0,410.0,112.0,779.0,1629.0,584.0,500.0,366.0,2073.0,1787.0
1,1,11,5,1599,92.0,88.0,43.0,137.0,603.0,235.0,204.0,197.0,717.0,836.0
1,1,12,1,2573,109.0,139.0,51.0,316.0,827.0,338.0,349.0,444.0,1216.0,1134.0
1,1,12,2,646,42.0,23.0,19.0,63.0,210.0,107.0,95.0,87.0,305.0,228.0
1,1,12,3,1157,66.0,86.0,16.0,93.0,430.0,158.0,141.0,167.0,547.0,425.0
1,1,12,4,8312,472.0,433.0,125.0,709.0,2961.0,1002.0,1010.0,1600.0,4060.0,2814.0
1,1,13,1,6967,446.0,423.0,78.0,655.0,2998.0,1011.0,658.0,698.0,3367.0,2153.0
1,1,13,2,12352,694.0,973.0,317.0,1067.0,4620.0,2202.0,1443.0,1036.0,5998.0,3308.0
1,1,13,3,9903,474.0,528.0,120.0,1119.0,3913.0,1229.0,1005.0,1515.0,4690.0,3470.0
1,1,13,4,9013,500.0,631.0,192.0,878.0,2522.0,837.0,939.0,2514.0,4724.0,2656.0
1,1,13,5,9422,554.0,475.0,113.0,846.0,3461.0,1063.0,993.0,1917.0,4634.0,2765.0
1,1,13,6,10779,628.0,568.0,138.0,1480.0,3812.0,1311.0,1230.0,1612.0,5272.0,3347.0
1,1,14,1,17771,1216.0,1422.0,329.0,1631.0,7670.0,2906.0,1567.0,1030.0,8778.0,5438.0
1,1,14,2,13443,934.0,1174.0,238.0,1055.0,5758.0,2379.0,1080.0,825.0,6677.0,3619.0
1,2,21,1,3450,197.0,219.0,70.0,479.0,1405.0,402.0,396.0,282.0,1562.0,1299.0
1,2,21,2,6866,362.0,423.0,134.0,1213.0,2649.0,775.0,687.0,623.0,3118.0,2987.0
1,2,21,3,275,15.0,46.0,19.0,39.0,73.0,35.0,27.0,21.0,128.0,174.0
1,2,21,4,18536,951.0,1177.0,369.0,2467.0,6906.0,2191.0,2153.0,2322.0,8709.0,6063.0
1,2,21,5,5235,300.0,379.0,129.0,805.0,1904.0,602.0,556.0,560.0,2399.0,1920.0
1,2,21,6,11333,569.0,678.0,233.0,1218.0,3456.0,1429.0,1693.0,2057.0,5734.0,2267.0
1,2,22,1,10825,649.0,722.0,207.0,1532.0,4348.0,1265.0,1104.0,998.0,5054.0,3320.0
1,2,22,2,5178,429.0,299.0,76.0,719.0,2704.0,423.0,254.0,274.0,2440.0,2340.0
1,2,22,3,6976,434.0,606.0,184.0,916.0,2238.0,832.0,717.0,1049.0,3402.0,2374.0
1,2,22,4,5935,314.0,369.0,100.0,612.0,2006.0,800.0,718.0,1016.0,2917.0,1527.0
1,2,22,5,3280,261.0,370.0,104.0,380.0,870.0,375.0,391.0,529.0,1612.0,1090.0
1,2,22,6,3132,129.0,207.0,72.0,303.0,1068.0,474.0,414.0,465.0,1480.0,713.0
1,2,22,7,5807,187.0,246.0,81.0,973.0,1703.0,625.0,697.0,1295.0,2791.0,1978.0
1,3,31,1,26381,1880.0,2569.0,772.0,3747.0,9002.0,3120.0,2571.0,2720.0,12573.0,10845.0
1,3,31,2,11665,731.0,1013.0,322.0,1694.0,4039.0,1483.0,1151.0,1232.0,5625.0,4419.0
1,3,32,1,14193,1118.0,1654.0,465.0,1708.0,4376.0,1691.0,1416.0,1765.0,7083.0,4303.0
1,3,32,2,10443,683.0,945.0,281.0,1425.0,2952.0,1180.0,1213.0,1764.0,5294.0,3156.0
1,3,32,3,14657,901.0,1308.0,447.0,2281.0,5083.0,1769.0,1415.0,1453.0,6815.0,5852.0
1,4,41,1,20529,1129.0,1389.0,414.0,2480.0,7016.0,2493.0,2503.0,3105.0,9897.0,6462.0
