district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
1,10,1,1,3419,156.0,143.0,28.0,442.0,1162.0,360.0,377.0,751.0,1623.0,1387.0
1,10,1,2,1791,98.0,94.0,47.0,156.0,671.0,260.0,240.0,225.0,788.0,909.0
1,10,1,3,5211,264.0,306.0,102.0,604.0,1578.0,638.0,740.0,979.0,2428.0,1853.0
1,10,1,4,4636,256.0,410.0,112.0,779.0,1629.0,584.0,500.0,366.0,2073.0,1787.0
1,10,2,5,2573,109.0,139.0,51.0,316.0,827.0,338.0,349.0,444.0,1216.0,1134.0
1,10,2,6,1803,108.0,109.0,35.0,156.0,640.0,265.0,236.0,254.0,852.0,653.0
1,10,2,7,8312,472.0,433.0,125.0,709.0,2961.0,1002.0,1010.0,1600.0,4060.0,2814.0
1,10,3,8,6967,446.0,423.0,78.0,655.0,2998.0,1011.0,658.0,698.0,3367.0,2153.0
1,10,3,9,12352,694.0,973.0,317.0,1067.0,4620.0,2202.0,1443.0,1036.0,5998.0,3308.0
1,10,3,10,9903,474.0,528.0,120.0,1119.0,3913.0,1229.0,1005.0,1515.0,4690.0,3470.0
1,10,3,11,9013,500.0,631.0,192.0,878.0,2522.0,837.0,939.0,2514.0,4724.0,2656.0
1,10,3,12,9422,554.0,475.0,113.0,846.0,3461.0,1063.0,993.0,1917.0,4634.0,2765.0
1,10,3,13,10779,628.0,568.0,138.0,1480.0,3812.0,1311.0,1230.0,1612.0,5272.0,3347.0
1,10,4,14,5178,479.0,370.0,65.0,464.0,2651.0,585.0,298.0,266.0,2538.0,2076.0
1,10,4,15,12593,737.0,1052.0,264.0,1167.0,5019.0,2321.0,1269.0,764.0,6240.0,3362.0
1,10,4,16,13443,934.0,1174.0,238.0,1055.0,5758.0,2379.0,1080.0,825.0,6677.0,3619.0
1,20,5,17,3725,212.0,265.0,89.0,518.0,1478.0,437.0,423.0,303.0,1690.0,1473.0
1,20,5,18,6866,362.0,423.0,134.0,1213.0,2649.0,775.0,687.0,623.0,3118.0,2987.0
1,20,5,19,9103,457.0,580.0,201.0,1281.0,3409.0,1074.0,953.0,1148.0,4239.0,3283.0
1,20,5,20,9433,494.0,597.0,168.0,1186.0,3497.0,1117.0,1200.0,1174.0,4470.0,2780.0
1,20,5,21,5235,300.0,379.0,129.0,805.0,1904.0,602.0,556.0,560.0,2399.0,1920.0
1,20,5,22,11333,569.0,678.0,233.0,1218.0,3456.0,1429.0,1693.0,2057.0,5734.0,2267.0
1,20,6,23,10825,649.0,722.0,207.0,1532.0,4348.0,1265.0,1104.0,998.0,5054.0,3320.0
1,20,6,24,5178,429.0,299.0,76.0,719.0,2704.0,423.0,254.0,274.0,2440.0,2340.0
1,20,6,25,6976,434.0,606.0,184.0,916.0,2238.0,832.0,717.0,1049.0,3402.0,2374.0
1,20,6,26,5935,314.0,369.0,100.0,612.0,2006.0,800.0,718.0,1016.0,2917.0,1527.0
1,20,6,27,3280,261.0,370.0,104.0,380.0,870.0,375.0,391.0,529.0,1612.0,1090.0
1,20,6,28,3132,129.0,207.0,72.0,303.0,1068.0,474.0,414.0,465.0,1480.0,713.0
1,20,6,29,5807,187.0,246.0,81.0,973.0,1703.0,625.0,697.0,1295.0,2791.0,1978.0
1,30,7,30,7957,570.0,857.0,252.0,1193.0,2646.0,941.0,774.0,724.0,3730.0,3716.0
1,30,7,31,8545,535.0,796.0,223.0,1172.0,2905.0,996.0,898.0,1020.0,4081.0,3228.0
1,30,7,32,9879,775.0,916.0,297.0,1382.0,3451.0,1183.0,899.0,976.0,4762.0,3901.0
1,30,7,33,11665,731.0,1013.0,322.0,1694.0,4039.0,1483.0,1151.0,1232.0,5625.0,4419.0
1,30,8,34,14193,1118.0,1654.0,465.0,1708.0,4376.0,1691.0,1416.0,1765.0,7083.0,4303.0
1,30,8,35,10443,683.0,945.0,281.0,1425.0,2952.0,1180.0,1213.0,1764.0,5294.0,3156.0
1,30,8,36,14657,901.0,1308.0,447.0,2281.0,5083.0,1769.0,1415.0,1453.0,6815.0,5852.0
1,40,9,37,10804,596.0,735.0,188.0,1241.0,3443.0,1334.0,1462.0,1805.0,5309.0,3131.0
1,40,9,38,9725,533.0,654.0,226.0,1239.0,3573.0,1159.0,1041.0,1300.0,4588.0,3331.0
1,40,9,39,5926,347.0,394.0,144.0,729.0,2180.0,679.0,636.0,817.0,2927.0,2143.0
1,40,9,40,6794,435.0,481.0,121.0,596.0,1789.0,778.0,975.0,1619.0,3622.0,1093.0
1,40,9,41,3786,203.0,189.0,52.0,361.0,878.0,376.0,469.0,1258.0,2008.0,930.0
1,40,9,42,8643,468.0,503.0,194.0,1283.0,3376.0,1042.0,960.0,817.0,4215.0,3166.0
1,40,10,43,7739,420.0,645.0,257.0,1191.0,2409.0,978.0,864.0,975.0,3743.0,3098.0
1,40,10,44,10224,720.0,867.0,240.0,1402.0,3870.0,1238.0,949.0,938.0,4784.0,4459.0
1,40,10,45,5722,392.0,549.0,193.0,893.0,2033.0,673.0,528.0,461.0,2696.0,2620.0
1,40,10,46,8781,478.0,476.0,160.0,1342.0,3666.0,968.0,943.0,748.0,4103.0,2756.0
1,40,10,47,7867,425.0,583.0,141.0,1500.0,3275.0,819.0,585.0,539.0,3598.0,3998.0
1,40,10,48,9098,443.0,653.0,230.0,1274.0,3558.0,1123.0,957.0,860.0,4245.0,3392.0
1,40,10,49,6689,384.0,485.0,164.0,757.0,2138.0,749.0,780.0,1232.0,3271.0,2814.0
2,10,1,1,6281,365.0,492.0,181.0,843.0,2332.0,795.0,664.0,609.0,2928.0,2540.0
2,10,1,2,8647,556.0,855.0,310.0,1178.0,2613.0,1061.0,913.0,1161.0,4265.0,3019.0
2,10,1,3,5382,342.0,576.0,152.0,671.0,1734.0,716.0,591.0,600.0,2685.0,1740.0
2,10,1,4,5567,361.0,533.0,172.0,756.0,1553.0,836.0,688.0,668.0,2720.0,2074.0
2,10,1,5,9604,592.0,940.0,309.0,1154.0,2910.0,1291.0,1108.0,1300.0,4818.0,3329.0
2,10,1,6,5009,280.0,522.0,175.0,609.0,1459.0,651.0,652.0,661.0,2499.0,1598.0
