district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,1,11,1,2049,129.0,118.0,25.0,333.0,851.0,214.0,167.0,212.0,982.0,1387.0
1,1,11,2,90,6.0,3.0,4.0,12.0,53.0,6.0,3.0,3.0,31.0,73.0
1,1,11,3,3041,211.0,248.0,84.0,382.0,1044.0,368.0,335.0,369.0,1449.0,1853.0
1,1,11,4,2994,190.0,336.0,96.0,505.0,1072.0,342.0,261.0,192.0,1359.0,1787.0
1,1,11,5,1109,79.0,85.0,34.0,110.0,479.0,163.0,99.0,60.0,519.0,836.0
1,1,12,1,1593,96.0,121.0,39.0,225.0,629.0,209.0,125.0,149.0,746.0,1134.0
1,1,12,2,316,33.0,20.0,13.0,26.0,145.0,45.0,22.0,12.0,159.0,228.0
1,1,12,3,630,48.0,77.0,13.0,36.0,296.0,85.0,41.0,34.0,313.0,425.0
1,1,12,4,4291,372.0,349.0,100.0,444.0,1858.0,474.0,358.0,336.0,2141.0,2814.0
1,1,13,1,3077,260.0,210.0,44.0,331.0,1602.0,348.0,153.0,129.0,1506.0,2153.0
1,1,13,2,5060,405.0,504.0,141.0,474.0,2310.0,702.0,342.0,182.0,2503.0,3308.0
1,1,13,3,4845,343.0,370.0,75.0,640.0,2403.0,504.0,291.0,219.0,2291.0,3470.0
1,1,13,4,4134,388.0,489.0,153.0,582.0,1547.0,383.0,282.0,310.0,2098.0,2656.0
1,1,13,5,4188,398.0,321.0,74.0,434.0,1993.0,495.0,241.0,232.0,1975.0,2765.0
1,1,13,6,4967,394.0,347.0,89.0,1091.0,2048.0,493.0,286.0,219.0,2445.0,3347.0
1,1,14,1,7829,706.0,722.0,160.0,789.0,4002.0,926.0,323.0,201.0,3957.0,5438.0
1,1,14,2,5433,520.0,533.0,91.0,467.0,2793.0,672.0,225.0,132.0,2729.0,3619.0
1,2,21,1,1929,149.0,195.0,60.0,231.0,780.0,218.0,174.0,122.0,869.0,1299.0
1,2,21,2,4318,298.0,367.0,113.0,690.0,1593.0,572.0,354.0,331.0,1970.0,2987.0
1,2,21,3,218,15.0,46.0,13.0,36.0,58.0,23.0,18.0,9.0,104.0,174.0
1,2,21,4,9423,583.0,873.0,270.0,1254.0,3488.0,1214.0,870.0,871.0,4322.0,6063.0
1,2,21,5,3087,224.0,324.0,105.0,446.0,1105.0,397.0,249.0,237.0,1399.0,1920.0
1,2,21,6,4035,298.0,335.0,131.0,445.0,1535.0,477.0,389.0,425.0,2016.0,2267.0
1,2,22,1,5466,395.0,522.0,164.0,746.0,2102.0,671.0,477.0,389.0,2578.0,3320.0
1,2,22,2,3486,339.0,271.0,66.0,447.0,1834.0,267.0,129.0,133.0,1669.0,2340.0
1,2,22,3,4169,337.0,508.0,156.0,491.0,1319.0,565.0,342.0,451.0,2046.0,2374.0
1,2,22,4,2546,165.0,224.0,67.0,267.0,1054.0,336.0,212.0,221.0,1200.0,1527.0
1,2,22,5,2125,224.0,318.0,88.0,227.0,607.0,236.0,217.0,208.0,1035.0,1090.0
1,2,22,6,1328,104.0,136.0,34.0,136.0,511.0,175.0,140.0,92.0,649.0,713.0
1,2,22,7,2781,107.0,154.0,48.0,669.0,1106.0,240.0,200.0,257.0,1310.0,1978.0
1,3,31,1,16815,1547.0,2216.0,659.0,2235.0,5546.0,2103.0,1377.0,1132.0,7917.0,10845.0
1,3,31,2,7224,553.0,882.0,292.0,1010.0,2355.0,1013.0,589.0,530.0,3458.0,4419.0
1,3,32,1,9418,913.0,1477.0,411.0,952.0,2865.0,1170.0,786.0,844.0,4663.0,4303.0
1,3,32,2,6224,551.0,799.0,251.0,914.0,1872.0,734.0,575.0,528.0,3086.0,3156.0
1,3,32,3,9466,723.0,1166.0,405.0,1319.0,3196.0,1255.0,770.0,632.0,4419.0,5852.0
1,4,41,1,10333,805.0,1030.0,321.0,1196.0,3855.0,1357.0,965.0,804.0,4844.0,6462.0
