district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1,10,1,1,2049,129.0,118.0,25.0,333.0,851.0,214.0,167.0,212.0,982.0,1387.0
1,10,1,2,1199,85.0,88.0,38.0,122.0,532.0,169.0,102.0,63.0,550.0,909.0
1,10,1,3,3041,211.0,248.0,84.0,382.0,1044.0,368.0,335.0,369.0,1449.0,1853.0
1,10,1,4,2994,190.0,336.0,96.0,505.0,1072.0,342.0,261.0,192.0,1359.0,1787.0
1,10,2,5,1593,96.0,121.0,39.0,225.0,629.0,209.0,125.0,149.0,746.0,1134.0
1,10,2,6,946,81.0,97.0,26.0,62.0,441.0,130.0,63.0,46.0,472.0,653.0
1,10,2,7,4291,372.0,349.0,100.0,444.0,1858.0,474.0,358.0,336.0,2141.0,2814.0
1,10,3,8,3077,260.0,210.0,44.0,331.0,1602.0,348.0,153.0,129.0,1506.0,2153.0
1,10,3,9,5060,405.0,504.0,141.0,474.0,2310.0,702.0,342.0,182.0,2503.0,3308.0
1,10,3,10,4845,343.0,370.0,75.0,640.0,2403.0,504.0,291.0,219.0,2291.0,3470.0
1,10,3,11,4134,388.0,489.0,153.0,582.0,1547.0,383.0,282.0,310.0,2098.0,2656.0
1,10,3,12,4188,398.0,321.0,74.0,434.0,1993.0,495.0,241.0,232.0,1975.0,2765.0
1,10,3,13,4967,394.0,347.0,89.0,1091.0,2048.0,493.0,286.0,219.0,2445.0,3347.0
1,10,4,14,2787,321.0,258.0,44.0,254.0,1518.0,243.0,94.0,55.0,1427.0,2076.0
1,10,4,15,5042,385.0,464.0,116.0,535.0,2484.0,683.0,229.0,146.0,2530.0,3362.0
1,10,4,16,5433,520.0,533.0,91.0,467.0,2793.0,672.0,225.0,132.0,2729.0,3619.0
1,20,5,17,2147,164.0,241.0,73.0,267.0,838.0,241.0,192.0,131.0,973.0,1473.0
1,20,5,18,4318,298.0,367.0,113.0,690.0,1593.0,572.0,354.0,331.0,1970.0,2987.0
1,20,5,19,4893,294.0,441.0,146.0,661.0,1834.0,632.0,409.0,476.0,2224.0,3283.0
1,20,5,20,4530,289.0,432.0,124.0,593.0,1654.0,582.0,461.0,395.0,2098.0,2780.0
