district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,2049,540.0,46.0,58.0,85.0,19.0,62.0,106.0,25.0,18.0,21.0,31.0,74.0,6.0,26,381.0,130.0,92.0,27.0,433.0,98.0,51.0,211.0,11.0,44.0,16.0,50.0,82.0
1,1,11,2,90,42.0,0.0,0.0,3.0,0.0,6.0,14.0,0.0,6.0,3.0,3.0,3.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,9.0,0.0,3.0,3.0,9.0,0.0
1,1,11,3,3041,890.0,124.0,32.0,90.0,37.0,50.0,185.0,73.0,118.0,36.0,53.0,181.0,43.0,60,423.0,183.0,89.0,35.0,922.0,323.0,83.0,346.0,55.0,94.0,42.0,71.0,125.0
1,1,11,4,2994,593.0,70.0,33.0,77.0,35.0,39.0,97.0,55.0,24.0,15.0,53.0,111.0,50.0,24,285.0,107.0,83.0,0.0,1297.0,378.0,63.0,686.0,179.0,128.0,25.0,56.0,220.0
1,1,11,5,1109,287.0,17.0,9.0,35.0,28.0,27.0,55.0,22.0,21.0,0.0,21.0,13.0,0.0,13,229.0,128.0,48.0,13.0,364.0,47.0,18.0,256.0,9.0,13.0,9.0,40.0,25.0
1,1,12,1,1593,385.0,16.0,15.0,46.0,18.0,26.0,31.0,114.0,21.0,9.0,33.0,43.0,9.0,19,342.0,155.0,87.0,15.0,331.0,59.0,28.0,196.0,31.0,14.0,42.0,53.0,55.0
1,1,12,2,316,140.0,14.0,0.0,24.0,9.0,7.0,9.0,14.0,23.0,3.0,9.0,12.0,0.0,6,40.0,12.0,9.0,0.0,21.0,3.0,0.0,9.0,0.0,0.0,0.0,32.0,3.0
1,1,12,3,630,165.0,6.0,15.0,19.0,12.0,9.0,30.0,18.0,6.0,0.0,22.0,12.0,3.0,6,224.0,152.0,21.0,0.0,73.0,30.0,9.0,22.0,6.0,0.0,12.0,22.0,12.0
1,1,12,4,4291,1197.0,106.0,49.0,109.0,70.0,91.0,178.0,198.0,80.0,22.0,81.0,145.0,25.0,52,891.0,461.0,156.0,46.0,920.0,211.0,55.0,479.0,23.0,178.0,169.0,122.0,155.0
1,1,13,1,3077,1163.0,121.0,35.0,127.0,105.0,122.0,173.0,59.0,77.0,28.0,152.0,66.0,9.0,16,385.0,178.0,67.0,26.0,481.0,103.0,57.0,173.0,19.0,41.0,36.0,200.0,57.0
1,1,13,2,5060,1789.0,270.0,63.0,265.0,145.0,165.0,208.0,114.0,72.0,43.0,289.0,162.0,15.0,53,500.0,275.0,73.0,18.0,762.0,240.0,54.0,303.0,22.0,101.0,97.0,424.0,90.0
1,1,13,3,4845,1362.0,168.0,66.0,211.0,79.0,134.0,186.0,102.0,64.0,19.0,158.0,134.0,22.0,53,566.0,268.0,107.0,34.0,965.0,184.0,55.0,502.0,46.0,177.0,321.0,216.0,129.0
