district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,10,1,1,2049,540.0,46.0,58.0,85.0,19.0,62.0,106.0,25.0,18.0,21.0,31.0,74.0,6.0,26,381.0,130.0,92.0,27.0,433.0,98.0,51.0,211.0,11.0,44.0,16.0,50.0,82.0
1,10,1,2,1199,329.0,17.0,9.0,38.0,28.0,33.0,69.0,22.0,27.0,3.0,24.0,16.0,0.0,13,229.0,128.0,48.0,13.0,376.0,47.0,21.0,265.0,9.0,16.0,12.0,49.0,25.0
1,10,1,3,3041,890.0,124.0,32.0,90.0,37.0,50.0,185.0,73.0,118.0,36.0,53.0,181.0,43.0,60,423.0,183.0,89.0,35.0,922.0,323.0,83.0,346.0,55.0,94.0,42.0,71.0,125.0
1,10,1,4,2994,593.0,70.0,33.0,77.0,35.0,39.0,97.0,55.0,24.0,15.0,53.0,111.0,50.0,24,285.0,107.0,83.0,0.0,1297.0,378.0,63.0,686.0,179.0,128.0,25.0,56.0,220.0
1,10,2,5,1593,385.0,16.0,15.0,46.0,18.0,26.0,31.0,114.0,21.0,9.0,33.0,43.0,9.0,19,342.0,155.0,87.0,15.0,331.0,59.0,28.0,196.0,31.0,14.0,42.0,53.0,55.0
1,10,2,6,946,305.0,20.0,15.0,43.0,21.0,16.0,39.0,32.0,29.0,3.0,31.0,24.0,3.0,12,264.0,164.0,30.0,0.0,94.0,33.0,9.0,31.0,6.0,0.0,12.0,54.0,15.0
1,10,2,7,4291,1197.0,106.0,49.0,109.0,70.0,91.0,178.0,198.0,80.0,22.0,81.0,145.0,25.0,52,891.0,461.0,156.0,46.0,920.0,211.0,55.0,479.0,23.0,178.0,169.0,122.0,155.0
1,10,3,8,3077,1163.0,121.0,35.0,127.0,105.0,122.0,173.0,59.0,77.0,28.0,152.0,66.0,9.0,16,385.0,178.0,67.0,26.0,481.0,103.0,57.0,173.0,19.0,41.0,36.0,200.0,57.0
1,10,3,9,5060,1789.0,270.0,63.0,265.0,145.0,165.0,208.0,114.0,72.0,43.0,289.0,162.0,15.0,53,500.0,275.0,73.0,18.0,762.0,240.0,54.0,303.0,22.0,101.0,97.0,424.0,90.0
1,10,3,10,4845,1362.0,168.0,66.0,211.0,79.0,134.0,186.0,102.0,64.0,19.0,158.0,134.0,22.0,53,566.0,268.0,107.0,34.0,965.0,184.0,55.0,502.0,46.0,177.0,321.0,216.0,129.0
1,10,3,11,4134,871.0,72.0,43.0,130.0,18.0,114.0,164.0,95.0,47.0,9.0,54.0,240.0,47.0,51,443.0,166.0,89.0,40.0,1031.0,292.0,47.0,436.0,22.0,162.0,738.0,59.0,136.0
1,10,3,12,4188,1007.0,89.0,29.0,133.0,57.0,111.0,159.0,95.0,27.0,24.0,114.0,98.0,16.0,28,643.0,329.0,120.0,29.0,982.0,250.0,40.0,512.0,41.0,160.0,134.0,135.0,177.0
1,10,3,13,4967,1381.0,135.0,54.0,182.0,62.0,109.0,242.0,75.0,78.0,36.0,136.0,207.0,21.0,54,464.0,196.0,97.0,38.0,1132.0,565.0,63.0,301.0,27.0,74.0,169.0,359.0,235.0
1,10,4,14,2787,875.0,75.0,21.0,115.0,93.0,84.0,163.0,42.0,70.0,25.0,75.0,66.0,6.0,13,404.0,197.0,95.0,9.0,652.0,119.0,61.0,321.0,21.0,75.0,27.0,97.0,61.0
1,10,4,15,5042,1910.0,252.0,88.0,297.0,153.0,159.0,208.0,66.0,60.0,22.0,266.0,117.0,6.0,41,469.0,206.0,81.0,25.0,660.0,130.0,61.0,308.0,6.0,105.0,69.0,381.0,107.0
1,10,4,16,5433,2138.0,307.0,123.0,382.0,173.0,184.0,226.0,60.0,85.0,43.0,345.0,141.0,24.0,40,462.0,204.0,81.0,17.0,643.0,131.0,57.0,294.0,18.0,69.0,52.0,561.0,95.0
