district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,10,1,1,2092,514.0,40.0,56.0,77.0,24.0,66.0,72.0,40.0,18.0,30.0,33.0,70.0,9.0,25,387.0,129.0,94.0,32.0,494.0,93.0,55.0,249.0,21.0,31.0,24.0,48.0,89.0
1,10,1,2,1199,326.0,25.0,6.0,42.0,26.0,27.0,59.0,28.0,26.0,6.0,27.0,23.0,3.0,7,235.0,130.0,53.0,16.0,361.0,66.0,19.0,225.0,7.0,19.0,9.0,58.0,35.0
1,10,1,3,3096,903.0,124.0,33.0,73.0,34.0,68.0,180.0,66.0,140.0,32.0,53.0,177.0,30.0,74,481.0,197.0,111.0,50.0,934.0,311.0,77.0,350.0,61.0,95.0,33.0,76.0,146.0
1,10,1,4,3038,584.0,72.0,31.0,79.0,36.0,31.0,102.0,52.0,33.0,16.0,45.0,108.0,51.0,19,304.0,145.0,64.0,6.0,1323.0,384.0,60.0,687.0,159.0,136.0,19.0,65.0,211.0
1,10,2,5,1734,398.0,24.0,12.0,53.0,12.0,40.0,23.0,113.0,22.0,9.0,37.0,30.0,6.0,6,352.0,172.0,98.0,12.0,339.0,81.0,30.0,180.0,20.0,19.0,52.0,53.0,41.0
1,10,2,6,957,285.0,20.0,30.0,33.0,21.0,24.0,30.0,18.0,28.0,3.0,52.0,18.0,6.0,9,252.0,163.0,26.0,6.0,119.0,39.0,9.0,42.0,3.0,3.0,16.0,55.0,22.0
1,10,2,7,4324,1142.0,105.0,55.0,106.0,82.0,79.0,149.0,192.0,71.0,31.0,90.0,138.0,20.0,57,857.0,451.0,165.0,53.0,995.0,186.0,54.0,543.0,37.0,210.0,179.0,133.0,153.0
1,10,3,8,3133,1185.0,129.0,42.0,128.0,94.0,111.0,177.0,45.0,83.0,16.0,150.0,71.0,18.0,15,433.0,197.0,64.0,46.0,483.0,103.0,53.0,178.0,12.0,29.0,41.0,211.0,56.0
1,10,3,9,5046,1759.0,266.0,46.0,278.0,151.0,172.0,206.0,99.0,57.0,42.0,300.0,165.0,18.0,62,470.0,255.0,67.0,18.0,767.0,218.0,73.0,319.0,22.0,116.0,82.0,409.0,99.0
1,10,3,10,4958,1401.0,164.0,63.0,211.0,95.0,132.0,201.0,121.0,61.0,32.0,156.0,129.0,22.0,41,624.0,266.0,131.0,44.0,1025.0,172.0,69.0,562.0,42.0,193.0,337.0,208.0,104.0
